"","ResponseId","t1p1","Q76_First Click","Q76_Last Click","Q76_Page Submit","Q76_Click Count","t1p2","Q77_First Click","Q77_Last Click","Q77_Page Submit","Q77_Click Count","t1p3","Q78_First Click","Q78_Last Click","Q78_Page Submit","Q78_Click Count","t1p4","Q79_First Click","Q79_Last Click","Q79_Page Submit","Q79_Click Count","t1difchc","Q64_First Click","Q64_Last Click","Q64_Page Submit","Q64_Click Count","t1pp1","t1pp1t1_First Click","t1pp1t1_Last Click","t1pp1t1_Page Submit","t1pp1t1_Click Count","t1pp1w","t1pp1r","t1pp1t2_First Click","t1pp1t2_Last Click","t1pp1t2_Page Submit","t1pp1t2_Click Count","t1pp2","t1pp2t1_First Click","t1pp2t1_Last Click","t1pp2t1_Page Submit","t1pp2t1_Click Count","t1pp2w","t1pp2r","t1pp2t2_First Click","t1pp2t2_Last Click","t1pp2t2_Page Submit","t1pp2t2_Click Count","t1pp3","t1pp3t1_First Click","t1pp3t1_Last Click","t1pp3t1_Page Submit","t1pp3t1_Click Count","t1pp3w","t1pp3r","t1pp3t2_First Click","t1pp3t2_Last Click","t1pp3t2_Page Submit","t1pp3t2_Click Count","t1tp1","t1tp1time_First Click","t1tp1time_Last Click","t1tp1time_Page Submit","t1tp1time_Click Count","t1tp1choice","t1tp2","t1tp2time_First Click","t1tp2time_Last Click","t1tp2time_Page Submit","t1tp2time_Click Count","t1tp2choice","t1tp3","t1tp3time_First Click","t1tp3time_Last Click","t1tp3time_Page Submit","t1tp3time_Click Count","t1tp3choice","t1tp4","t1tp4time_First Click","t1tp4time_Last Click","t1tp4time_Page Submit","t1tp4time_Click Count","t1tp4choice","t1tp5","t1tp5time_First Click","t1tp5time_Last Click","t1tp5time_Page Submit","t1tp5time_Click Count","t1tp5choice","t1tp6","t1tp6time_First Click","t1tp6time_Last Click","t1tp6time_Page Submit","t1tp6time_Click Count","t1tp6choice","t1tp7","t1tp7time_First Click","t1tp7time_Last Click","t1tp7time_Page Submit","t1tp7time_Click Count","t1tp7choice","t1tp8","t1tp8time_First Click","t1tp8time_Last Click","t1tp8time_Page Submit","t1tp8time_Click Count"
"1","R_3rTk0BZHTtIytpL",6,8.897,8.897,10.285,1,3,6.727,6.727,7.781,1,1,26.149,26.149,27.49,1,6,7.257,7.257,8.196,1,0,0,0,8.838,0,8,74.857,75.691,76.304,2,1,NA,0,0,5.571,0,3,18.185,18.185,19.533,1,1,NA,0,0,6.667,0,1,50.313,50.313,51.547,1,NA,0,NA,NA,NA,NA,2,13.86,16.306,17.779,2,1,9,4.705,5.594,7.035,2,1,9,8.145,8.947,10.301,2,1,NA,8.562,8.562,9.838,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","R_22yuzOdZillo0yn",6,13.406,13.406,16.325,1,3,10.951,10.951,12.801,1,1,38.476,38.476,40.789,1,6,7.994,7.994,9.301,1,0,10.92,12.283,13.059,2,5,99.058,99.058,107.481,1,1,NA,0,0,7.787,0,3,9.257,45.477,46.284,4,0,NA,NA,NA,NA,NA,1,8.837,61.924,63.922,2,NA,0,NA,NA,NA,NA,8,12.255,29.226,32.778,6,1,5,86.491,87.702,90.265,2,1,8,30.128,31.45,34.305,2,1,1,75.283,78.122,80.135,2,1,9,18.142,19.319,23.626,2,1,1,23.287,41.5,46.289,2,1,5,15.01,16.498,18.252,2,1,6,47.057,47.057,48.942,1
"3","R_3RrNbZq3PpI2R0r",6,3.314,15.799,18.071,3,3,2.45,5.67,6.999,3,1,3.7,16.777,18.963,3,6,2.825,5.106,6.421,2,1,0,0,7.946,0,6,2.707,33.384,35.069,4,NA,1,8.287,8.287,16.39,1,1,85.097,86.442,87.826,2,1,NA,0.758,35.13,43.85,2,1,1.494,16.671,18.36,2,NA,1,0,0,3.974,0,8,10.596,19.995,22.107,3,1,6,1.816,118.8,120.114,5,1,1,1.141,179.395,180.33,5,1,1,1.021,36.052,37.652,5,1,7,1.571,44.504,45.968,6,1,5,1.217,17.255,18.433,4,1,5,1.164,14.531,16.586,4,1,1,1.158,8.073,9.223,3
"4","R_3lPsTyA7EsjUkbr",6,14.584,14.584,16.887,1,3,5.604,5.604,6.65,1,1,2.754,33.385,35.284,2,6,7.025,7.025,8.066,1,1,0,0,12.574,0,8,59.73,59.73,71.995,1,1,NA,0,0,48.044,0,5,49.068,49.068,50.279,1,NA,0,NA,NA,NA,NA,1,22.5,22.5,23.352,1,NA,0,NA,NA,NA,NA,8,4.124,23.148,25.141,4,1,7,69.027,71.179,72.478,2,1,5,3.023,212.173,213.341,3,1,7,43.661,51.452,53.172,2,1,7,147.863,159.302,160.662,4,1,5,22.417,24.521,25.619,2,1,5,31.824,35.76,36.731,2,1,1,13.791,13.791,15.57,1
"5","R_2CvT0JGUDcvfBRh",6,10.234,10.234,12.129,1,3,7.1,7.1,8.091,1,3,21.359,21.359,22.377,1,6,5.218,5.218,6.218,1,1,0,0,11.055,0,6,17.642,17.642,18.41,1,NA,0,NA,NA,NA,NA,3,25.568,25.568,26.424,1,1,NA,0,0,21.788,0,1,29.019,29.019,30.361,1,NA,0,NA,NA,NA,NA,8,12.287,13.911,15.506,2,1,2,27.47,29.027,30.072,2,1,9,15.527,17.025,17.742,2,1,5,54.875,56.581,57.701,2,1,9,25.678,26.748,28.838,2,1,5,7.88,9.02,10.608,2,1,5,20.344,21.358,22.145,2,1,1,17.782,39.414,42.581,2
"6","R_3iIqJLSMNZIYB3Y",6,10.958,10.958,12.198,1,3,8.306,8.306,11.062,1,1,58.933,58.933,60.452,1,6,4.861,4.861,7.381,1,1,0,0,4.99,0,6,20.751,20.751,21.956,1,NA,0,NA,NA,NA,NA,2,16.039,16.039,17.659,1,0,NA,NA,NA,NA,NA,1,46.72,46.72,47.567,1,NA,0,NA,NA,NA,NA,8,10.371,12.222,15.881,2,1,9,33.739,34.499,35.856,2,1,9,19.498,20.736,22.793,2,1,5,35.221,39.28,40.736,2,1,9,27.43,28.709,29.357,2,1,5,15.231,16.063,17.253,2,1,5,18.772,19.628,20.879,2,1,1,8.007,8.007,8.863,1
"7","R_3smErApoqhbKVPQ",6,9.941,9.941,12.309,1,3,9.874,9.874,11.287,1,3,21.579,21.579,24.004,1,6,9.942,9.942,11.191,1,0,0,0,16.461,0,8,35.052,62.831,64.379,2,1,NA,6.853,9.34,10.387,3,5,48.625,48.625,49.836,1,NA,1,1.939,3.822,6.187,3,1,28.17,28.17,29.425,1,NA,0,NA,NA,NA,NA,8,10.887,16.139,16.952,5,1,6,35.013,37.581,38.881,3,1,9,7.347,9.23,11.789,3,1,1,16.169,19.245,19.935,3,1,9,15.081,17.097,18.146,3,1,9,22.461,24.717,25.783,3,1,5,14.847,23.858,24.373,6,1,6,10.459,12.553,15.036,2
"8","R_1MJOr1Cd3bUgVSF",6,18.072,18.072,19.52,1,3,10.298,10.298,12.301,1,1,18.177,18.177,20.347,1,6,7.7,7.7,9.129,1,1,0,0,14.376,0,6,25.629,25.629,31.083,1,NA,1,2.737,2.737,4.056,1,5,82.904,82.904,84.199,1,NA,1,0.945,0.945,29.421,1,1,61.909,61.909,63.332,1,NA,0,NA,NA,NA,NA,8,10.989,15.313,17.25,3,1,7,44.149,49.892,51.016,3,1,8,92.59,94.691,96.335,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","R_1poEg1okIA3fc0d",6,3.702,19.452,20.792,2,3,5.454,5.454,8.728,1,1,23.014,23.014,24.572,1,6,7.164,7.164,8.198,1,1,0,0,16.179,0,2,181.866,181.866,189.791,1,1,NA,22.577,35.599,36.819,2,5,129.336,129.336,132.264,1,NA,1,5.557,6.6,10.46,2,1,38.294,38.294,39.602,1,NA,0,NA,NA,NA,NA,8,8.208,32.914,34.958,4,1,7,133.708,136.906,138.052,3,1,9,124.288,126.206,127.38,3,1,5,36.632,40.151,41,3,1,9,94.312,96.353,97.562,3,1,5,51.541,53.68,54.401,3,1,5,19.582,21.56,22.595,3,1,1,12.907,25.835,26.824,2
"10","R_O8srLUqdQYtpzwt",6,16.222,16.222,21.776,1,3,8.981,8.981,10.301,1,1,24.53,24.53,25.975,1,6,6.417,6.417,7.563,1,0,0,0,12.313,0,8,33.454,33.454,34.626,1,1,NA,0,0,9.415,0,6,43.877,56.373,59.225,2,1,NA,0,0,8.688,0,1,31.025,31.025,35.363,1,NA,0,NA,NA,NA,NA,8,14.513,19.24,22.275,2,1,4,117.627,119.298,121.172,2,1,5,84.179,85.619,86.314,2,1,5,25.414,37.846,38.6,2,1,1,44.84,46.528,47.004,2,1,5,29.474,33.346,33.902,2,1,5,20.862,22.694,23.817,2,1,1,11.425,11.425,13.379,1
