"","ResponseId","Q187","chall_ass_self_1","chall_ass_self_2","chall_ass_self_3","chall_ass_self_4","chall_ass_self_5","chall_word_ev_1","chall_word_ev_2","chall_word_ev_3","chall_word_ev_4","chall_word_ev_5","crit_ass_self_1","crit_ass_self_2","crit_ass_self_3","crit_ass_self_4","crit_ass_self_5","crit_word_ev_1","crit_word_ev_2","crit_word_ev_3","crit_word_ev_4","crit_word_ev_5","chall_word_us_ev_1","chall_word_us_ev_2","chall_word_us_ev_3","chall_word_us_ev_4","chall_word_us_ev_5","crit_word_us_ev_1","crit_word_us_ev_2","crit_word_us_ev_3","crit_word_us_ev_4","crit_word_us_ev_5","pre_ms","pre_ms_words_4","pre_ms_words_5","pre_ms_words_6","ms_words_ev_1","ms_words_ev_2","ms_words_ev_3","chall_gnat_feedback_1","chall_gnat_feedback_2","chall_gnat_feedback_3","chall_gnat_correct_1","chall_gnat_attention_1","crit_gnat_feedback_1","crit_gnat_feedback_2","crit_gnat_feedback_3","crit_gnat_correct_1","crit_gnat_attention_1","Q194","iq_1","iq_2","fms_1","fms_2","fms_3","fms_4","crms_1","crms_2","crms_3","crms_4","chms_1","chms_2","chms_3","chms_4","grit_1","grit_2","grit_3","grit_4","grit_5","grit_6","grit_7","grit_8","fsc_1","fsc_2","crsc_1","crsc_2","chsc","mcsd_1","mcsd_2","mcsd_3","mcsd_4","mcsd_5","mcsd_6","mcsd_7","mcsd_8","mcsd_9","mcsd_10","mcsd_11","mcsd_12","mcsd_13","Q197_1","Q197_2","Q197_3","Q197_4","Q197_5","Q197_6","Q197_7","Q197_8","Q197_9","Q197_10","Q197_11","Q197_12","Q197_13","Q197_14","Q197_15","Q197_16","Q197_17","Q197_18","rei_1","rei_2","rei_3","rei_4","rei_5","rei_6","rei_7","rei_8","rei_9","rei_10","rei_11","rei_12"
"1","R_3rTk0BZHTtIytpL","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","verseny","tanulás","nyertes","vesztes","győzelem","inkább pozitív","inkább pozitív","inkább pozitív","semleges","pozitív","segítség","növekedés","hasznos","feedback","építő","pozitív","pozitív","pozitív","pozitív","pozitív","inkább pozitív","inkább pozitív","inkább negatív","semleges","inkább pozitív","inkább pozitív","pozitív","pozitív","semleges","semleges","Szeretné közösen átbeszélni a munkámat, megfogalmazni az észrevételeit, segíteni a továbbiakban.","ismerősség","izgalom","kiváncsiság","pozitív","pozitív","pozitív","Inkább igen.","Inkább igen.","Igen, nagyon.",78,89,"Igen.","Igen.","Igen.",55,83,NA,"Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Kevéssé jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Hamis","Hamis","Hamis","Hamis","Hamis","Hamis","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Közepesen egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Teljesen egyetértek","Közepesen egyetértek","Inkább igaz","Egyaránt igaz és hamis","Inkább igaz","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz"
"2","R_22yuzOdZillo0yn","a böngészőt átváltottam teljes képernyős módra","nehézség","fájdalom","erő","kitartás","nyeremény","inkább negatív","negatív","inkább pozitív","inkább pozitív","pozitív","vélemény","akarat","tehetség","veszély","gondolat","semleges","inkább pozitív","pozitív","negatív","pozitív","inkább negatív","semleges","inkább negatív","inkább negatív","semleges","inkább negatív","inkább pozitív","semleges","inkább pozitív","negatív","Tetszett neki és ki szeretné még egészíteni pár ötlettel","izgatott","érdeklődő","figyelmes","inkább pozitív","inkább pozitív","semleges","Közepesen.","Közepesen.","Inkább igen.",60,92,"Közepesen.","Közepesen.","Igen.",61,90,"nem
","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Hamis","Hamis","Igaz","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis"
"3","R_3RrNbZq3PpI2R0r","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehéz","próbatétel","megmérettetés","sikerül","feladat","semleges","inkább negatív","inkább negatív","pozitív","semleges","építő","visszajelzés","iránymutatás","vélemény","szigorú","pozitív","inkább pozitív","pozitív","semleges","semleges","inkább pozitív","inkább negatív","pozitív","inkább pozitív","semleges","inkább pozitív","pozitív","semleges","semleges","inkább negatív","Valószínűleg valami olyan, amit nem lehet e-mailben megírni. Vagy azért, mert nagyon hosszú, és beszédben célszerűbb lenne elmondani, vagy azért, mert érdekli, miért írtam/csináltam bizonyos dolgokat (értse: párbeszéd-szerű kommunikáció), kérdései vannak, és ezt sokkal egyszerűbb beszélgetés keretében megoldani.","szorongás","aggódás","remény","negatív","negatív","pozitív","Egyáltalán nem.","Inkább igen.","Igen, nagyon.",75,100,"Nem.","Igen.","Igen, nagyon.",75,100,"A végére kialakult, hogy a kék színű szavaknak a hangulatát, a fehéreknek pedig a jelentését nézzem.","Egyáltalán nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Valamennyire jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Egyáltalán nem jellemző rám","Egyáltalán nem jellemző rám","Nagyon jellemző rám","Teljes mértékben jellemző rám","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Hamis","Igaz","Igaz","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Teljesen egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Teljesen egyetértek","Egyáltalán nem értek egyet","Közepesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább igaz","Inkább igaz","Egyáltalán nem igaz","Inkább igaz","Teljes mértékben igaz","Inkább nem igaz","Egyáltalán nem igaz","Egyáltalán nem igaz","Egyáltalán nem igaz","Egyáltalán nem igaz","Teljes mértékben igaz","Teljes mértékben igaz"
"4","R_3lPsTyA7EsjUkbr","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","sport","fejlődés","vívás","cél","teljesítmény","pozitív","pozitív","pozitív","semleges","semleges","irodalom","vélemény","fejlődés","elemzés","negatív","pozitív","semleges","pozitív","semleges","negatív","inkább pozitív","semleges","semleges","semleges","semleges","semleges","inkább pozitív","semleges","semleges","inkább negatív","Azt gondolnám, hogy nem jól csináltam, talán az egész alapkoncepció nem jó és azért akar velem személyesen konzultálni, mert túl hosszú lenne leírni és jobb is ezt személyesen megbeszélni.","csalódottság","félelem","aggódás","negatív","negatív","negatív","Közepesen.","Inkább igen.","Igen, nagyon.",75,90,"Közepesen.","Közepesen.","Igen, nagyon.",89,100,"Mielőtt elkezdtem többször elismételtem magamnak, hogy mi a két téma, amihez kell szavakat keresni","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Hamis","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Teljes mértékben igaz","Inkább nem igaz","Egyaránt igaz és hamis","Inkább nem igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Teljes mértékben igaz","Teljes mértékben igaz"
"5","R_2CvT0JGUDcvfBRh","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","harc","nehéz","erős","hosszú","győzelem","pozitív","inkább negatív","pozitív","inkább negatív","pozitív","negatív","építő","segítség","javítás","gonosz","negatív","pozitív","inkább pozitív","semleges","negatív","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","inkább negatív","semleges","semleges","semleges","semleges","Szernitem nagyrészt pozitív visszajelzés lesz, esetleg néhány hibára szeretné felhívni a figyelmemet, amiket jobb élőben megbeszélni, mint írásban.","meglepett","lelkes","aggódó","semleges","pozitív","inkább negatív","Közepesen.","Közepesen.","Igen, nagyon.",70,90,"Nem.","Közepesen.","Igen, nagyon.",80,95,"Magamban kimondtam az összes olvasott szót, ez szerintem felgyorsította a kategorizációs folyamatot.","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Valamennyire jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet","Teljesen egyetértek","Teljesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább igaz","Inkább nem igaz","Egyaránt igaz és hamis","Inkább igaz","Egyaránt igaz és hamis","Inkább nem igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz"
"6","R_3iIqJLSMNZIYB3Y","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","harc","győzelem","párbaj","konfrontáció","szórakozás","semleges","semleges","semleges","semleges","semleges","újság","építő","pozitív","negatív","cikk","semleges","pozitív","pozitív","negatív","semleges","semleges","semleges","semleges","semleges","semleges","semleges","semleges","semleges","inkább negatív","inkább negatív","Volt vele valami probléma.","stressz","várakozás","ideges","negatív","inkább negatív","negatív","Közepesen.","Inkább igen.","Inkább igen.",61,81,"Közepesen.","Igen.","Igen.",50,71,"Jobbra vagy balra koncentráltam?","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Nagyon jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább igaz","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Inkább igaz","Inkább igaz","Egyaránt igaz és hamis","Egyaránt igaz és hamis","Egyaránt igaz és hamis"
"7","R_3smErApoqhbKVPQ","a böngészőt átváltottam teljes képernyős módra","élet","mindenki","nyeremény","veszteség","padló","pozitív","semleges","inkább pozitív","inkább negatív","negatív","építő","őszinte","fejlesztés","hasznos","ambivalens","pozitív","inkább pozitív","pozitív","pozitív","semleges","inkább pozitív","pozitív","inkább negatív","inkább pozitív","inkább pozitív","semleges","inkább pozitív","inkább pozitív","semleges","inkább negatív","Valami nagyon rosszat talált, amit nem akar e-mailben elmondani","félelem","idegesség","bizonytalanság","inkább negatív","negatív","negatív","Inkább nem.","Közepesen.","Igen, nagyon.",29,71,"Igen.",NA,NA,23,70,"nem igazán","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Kevéssé jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Egyáltalán nem jellemző rám","Teljes mértékben jellemző rám","Nagyon jellemző rám","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Igaz","Közepesen egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Közepesen egyetértek","Inkább nem értek egyet","Teljesen egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Közepesen egyetértek","Teljesen egyetértek","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Egyaránt igaz és hamis","Inkább nem igaz","Teljes mértékben igaz","Egyáltalán nem igaz","Inkább nem igaz","Inkább igaz","Inkább nem igaz","Inkább igaz","Inkább nem igaz"
"8","R_1MJOr1Cd3bUgVSF","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","félelem","teljesítmény","munka","siker","csőd","negatív","inkább pozitív","semleges","pozitív","negatív","rossz","megalázás","építő","munka","egyetem","negatív","negatív","pozitív","semleges","semleges","semleges","inkább negatív","semleges","semleges","inkább negatív","semleges","semleges","pozitív","inkább negatív","negatív","Szerintem valami rosszat akar mondani, dicséret miatt nem áldozná rám az idejét. 
","Ijedtség","Kétségbeesés","Bizonytalanság","negatív","negatív","negatív","Inkább igen.","Közepesen.","Igen, nagyon.",65,93,"Igen.","Közepesen.","Igen, nagyon.",67,92,"Nem volt","Nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Közepesen egyetértek","Inkább nem értek egyet","Közepesen egyetértek","Közepesen egyetértek","Egyaránt igaz és hamis","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz"
"9","R_1poEg1okIA3fc0d",NA,"fejlődés","nehézség","akadály","jutalom","párbaj","pozitív","inkább negatív","inkább negatív","pozitív","negatív","kemény","fájdalmas","építő","nehéz","foglalkozás","negatív","negatív","pozitív","inkább negatív","semleges","inkább pozitív","inkább negatív","inkább pozitív","inkább negatív","inkább pozitív","inkább negatív","inkább pozitív","semleges","inkább negatív","negatív","Valószínűleg pár apróbb változtatást javasolna. Mivel fontos dologról van szó, valószínűleg jobban preferálja a személyes véleményközlést, nem feltétlen negatív dologra utal, hogy személyesen akar velem beszélni.","ijedtség","kétség","elfogadás","negatív","negatív","semleges","Inkább igen.","Igen, nagyon.","Igen, nagyon.",83,77,"Közepesen.","Igen.","Igen, nagyon.",87,93,"A két kategóriát végig magamban mondogattam, és igyekeztem a színeket alapján megkönnyíteni a kategorizálást.","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Teljes mértékben jellemző rám","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Egyaránt igaz és hamis","Inkább igaz","Inkább nem igaz","Inkább igaz","Inkább igaz","Egyaránt igaz és hamis","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább igaz","Inkább igaz"
"10","R_O8srLUqdQYtpzwt","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","maximalizmus","problémamegoldás","megfelelés","igyekezet","akaraterő","pozitív","pozitív","inkább pozitív","pozitív","pozitív","vélemény","őszinteség","javaslat","értékelés","elemzés","pozitív","pozitív","pozitív","inkább pozitív","pozitív","inkább pozitív","negatív","inkább negatív","inkább negatív","inkább negatív","inkább pozitív","pozitív","pozitív","inkább pozitív","inkább negatív","Nem feltétlen jelent ez negatív visszajelzést. Az is előfordulhat, hogy olyan javítási javaslata van, amelyet nehezebben lehetne emailen keresztül elmagyarázni.","kíváncsiság","bizonytalanság","aggodalom","inkább pozitív","inkább negatív","negatív","Közepesen.","Közepesen.","Igen, nagyon.",80,90,"Közepesen.","Közepesen.","Igen, nagyon.",80,90,"Nem igazán, csak próbáltam minél jobban figyelni a megjelenő szavakra és az aktuális kategóriákra.","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Teljes mértékben jellemző rám","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Inkább egyetértek","Közepesen egyetértek","Közepesen egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Teljesen egyetértek","Közepesen egyetértek","Közepesen egyetértek","Teljesen egyetértek","Inkább egyetértek","Inkább egyetértek","Közepesen egyetértek","Inkább igaz","Egyaránt igaz és hamis","Inkább igaz","Inkább igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Inkább nem igaz","Egyáltalán nem igaz","Teljes mértékben igaz","Teljes mértékben igaz"
