"","ResponseId","d_sens_chall","challange_d","d_sens_crit","criticism_d","Q187","chall_ass_self_1","chall_ass_self_2","chall_ass_self_3","chall_ass_self_4","chall_ass_self_5","chall_word_ev_1","chall_word_ev_2","chall_word_ev_3","chall_word_ev_4","chall_word_ev_5","crit_ass_self_1","crit_ass_self_2","crit_ass_self_3","crit_ass_self_4","crit_ass_self_5","crit_word_ev_1","crit_word_ev_2","crit_word_ev_3","crit_word_ev_4","crit_word_ev_5","chall_word_us_ev_1","chall_word_us_ev_2","chall_word_us_ev_3","chall_word_us_ev_4","chall_word_us_ev_5","crit_word_us_ev_1","crit_word_us_ev_2","crit_word_us_ev_3","crit_word_us_ev_4","crit_word_us_ev_5","pre_ms","pre_ms_words_4","pre_ms_words_5","pre_ms_words_6","ms_words_ev_1","ms_words_ev_2","ms_words_ev_3","chall_gnat_feedback_1","chall_gnat_feedback_2","chall_gnat_feedback_3","chall_gnat_correct_1","chall_gnat_attention_1","crit_gnat_feedback_1","crit_gnat_feedback_2","crit_gnat_feedback_3","crit_gnat_correct_1","crit_gnat_attention_1","Q194","iq_1","iq_2","fms_1","fms_2","fms_3","fms_4","crms_1","crms_2","crms_3","crms_4","chms_1","chms_2","chms_3","chms_4","grit_1","grit_2","grit_3","grit_4","grit_5","grit_6","grit_7","grit_8","fsc_1","fsc_2","crsc_1","crsc_2","chsc","mcsd_1","mcsd_2","mcsd_3","mcsd_4","mcsd_5","mcsd_6","mcsd_7","mcsd_8","mcsd_9","mcsd_10","mcsd_11","mcsd_12","mcsd_13","intdel_1","intdel_2","intdel_3","intdel_4","intdel_5","intdel_6","intdel_7","intdel_8","intdel_9","intdel_10","intdel_11","intdel_12","intdel_13","intdel_14","intdel_15","intdel_16","intdel_17","intdel_18","rei_1","rei_2","rei_3","rei_4","rei_5","rei_6","rei_7","rei_8","rei_9","rei_10","rei_11","rei_12","iqms_avg","crms_avg","chms_avg","fms_avg","fsc_avg","crsc_avg","chall_ev_participant","crit_ev_participant","chall_ev_us","crit_ev_us","mcsd","grit_avg","pid_avg","pre_ms_ev","intdel_pid","intdel_rei","intuition_pid","deliberation_pid","intuition_rei","deliberation_rei","challenge_seeking","t1p1_correct","t1p2_correct","t1p3_correct","t1p4_correct","t1pp1_correct","t1pp2_correct","t1pp3_correct","t1tp1_correct","t1tp2_correct","t1tp3_correct","t1tp4_correct","t1tp5_correct","t1tp6_correct","t1tp7_correct","t1tp8_correct","set1_scoreraw","perc_correct","eiottime","perssec","eiottimetrans","perstrans","ewd","pers_wd","effort","persistence","resilience","perc_score"
"1","R_005XplPqgTzWwXD",-0.405758056298429,-0.0886072576313692,-0.551407945222134,-0.0242744471635197,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","elhivatottság","boldogság","munka","multitasking","kérdések",5,5,4,4,5,"építő","önreflexió","negatív","Puzsér Róbert","segítség",5,4,2,4,5,4,4,4,4,4,4,5,4,3,4,"Véleményem szerint, ha sokáig dolgoztam rajta, akkor érdemi munkát sikerült letennem az asztalra, és ezt ő is látja. Valószínűleg érzi, hogy komolyan veszem a feladatot, így szeretne segíteni a munkámban, hiszen témavezetőként ez a dolga.","bizonytalanság","remény","hit",2,4,5,2,3,5,60,100,2,4,5,65,100,"Igyekeztem nagyon koncentrálni, és minél gyorsabban leütni a space-t, de volt olyan, hogy ez rossz taktikának bizonyult, mert ha sokáig helyes szavak jöttek, az utána lévő nem odatartozó szavakat is benyomtam véletlen.",5,5,4,4,5,5,5,4,4,5,5,4,2,4,3,2,3,1,3,3,3,4,3,4,4,5,0,0,1,0,1,1,0,1,1,1,0,0,1,0,4,4,4,4,4,3,4,4,4,4,3,4,2,4,3,4,4,4,4,4,4,4,2,4,4,2,4,4,4,4,5,4.5,3.75,4.5,3.5,4.5,4.6,4,4,4,0.538461538461538,2.75,3.72222222222222,3.66666666666667,3.72222222222222,3.66666666666667,3.5,3.83333333333333,3.66666666666667,3.66666666666667,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0.75,0.666666666666667,550.201,756.976,23.4563637420637,27.5131968335197,23.4563637420637,27.5131968335197,0.780590385819759,0.710357408231742,0.666666666666667,3.15761446071817
"2","R_0Ah7oTDvDf8i50d",-1.59289107185443,0.0787488313092988,0.508272574191797,0.125808871369875,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","verseny","feladat","nehéz","siker","öröm",4,4,2,5,5,"izgalom","jó","segít","verseny","szomorú",4,5,5,2,1,4,2,2,4,4,4,4,4,3,1,"Sokat dolgoztam rajta, úgyhogy nagy baj nem lehet vele, talán kisebb módosításokat szeretne mondani vagy valamilyen témára felhívni a figyelmem, amit nem érintettem a prezentációmban","izgalom","kíváncsiság","izgatottság",4,5,4,1,1,5,65,90,1,1,5,65,90,"Próbáltam a szót nem betűnként olvasni, hanem egyben látni az egészet, hogy gyorsabban tudjak dönteni",4,4,1,2,2,2,3,3,3,2,5,5,5,5,4,3,4,5,4,4,4,5,4,4,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,4,5,2,1,4,2,5,4,5,1,4,4,5,5,5,5,4,5,5,5,5,5,5,4,2,4,4,5,4,2.75,5,1.75,4,3.5,4,3.4,3.2,3.2,0.153846153846154,4.125,3.55555555555556,4.33333333333333,3.55555555555556,4.41666666666667,4.25,2.5,4.83333333333333,4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0.866666666666667,168.986,545.511,12.9994615273095,23.3561769131851,12.9994615273095,23.3561769131851,0.395028271555862,0.603028190386035,1,2.9980564619419
"3","R_0qShHL1odRlStYR",-0.0761687264453312,0.0114437402207859,0.0783601920884942,-0.350958841097276,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","teljesítmény","cselekedet","kitartás","aktivitás","munka",5,5,5,5,4,"vélemény","gondolkodás","elemzés","tévedés","szabadság",3,5,4,3,5,4,5,3,3,5,5,4,4,3,3,"A véleményét az általam készített prezentációról, visszajelez, értékel esetleg kritikát fogalmaz meg róla.","szorongás","izgalom","megkönnyebbülés",1,4,5,4,4,5,64,84,3,4,5,48,96,"Minden utasítást többször elolvcastam, végiggondoltam és amikor úgy éreztem elfárad a szemem, pár másodpercre lehunytam és próbáltam lelassítani a fejemben kavargó gondolatokat.",5,5,3,3,6,5,3,4,4,4,4,6,5,5,3,3,2,2,2,2,4,2,4,3,3,5,1,0,0,1,1,0,1,0,0,1,0,1,1,0,4,4,4,5,4,4,4,5,3,5,5,4,2,5,3,3,2,5,3,5,3,4,4,3,4,3,4,4,4,4,5,3.75,5,4.25,3.5,4,4.8,4,4,3.8,0.461538461538462,2.5,3.94444444444444,3.33333333333333,3.94444444444444,3.75,3.375,4.16666666666667,3.66666666666667,3.83333333333333,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0.266666666666667,276.701,224.015,16.6343319673499,14.9671306535354,16.6343319673499,14.9671306535354,0.529051551410189,0.386433179831656,0,0.915484731241845
"4","R_10pBhOj1PXqwugt",-2.02175234769793,-0.086453679516044,1.86819644678541,-0.273092461315811,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehézség","belevágni","véghezvinni","kitartás","szembenézni",2,4,5,5,5,"sértettség","elfogadni","fejlődni","pozitív","negatív",1,5,5,5,1,4,2,2,3,3,3,3,3,4,2,"Először biztosan az fordul meg a fejemben, hogy valami rossz kritikát mond rá és sok hibát talált benne, de aztán próbálok pozitívan hozzáállni, hiszen sokat foglalkoztam vele.","félelem","izgalom","kíváncsiság",1,4,4,3,4,5,61,71,3,4,4,65,78,NA,6,5,2,4,4,5,4,4,5,5,5,5,5,5,3,3,3,3,4,4,3,2,4,5,3,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,3,4,4,2,5,4,2,5,5,5,5,3,5,4,3,3,3,3,2,2,3,3,3,2,2,2,2,3,3,5.5,4.5,5,3.75,4.5,3.5,4.2,3.4,2.8,3,0.153846153846154,3.125,3.77777777777778,3,3.77777777777778,2.5,4.125,3.5,2.66666666666667,2.33333333333333,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.75,0.266666666666667,183.633,137.698,13.5511254145182,11.7344791107232,13.5511254145182,11.7344791107232,0.415368970010046,0.302970033561763,0,0.71833900357181
"5","R_10UZHIbVtBoKFCP",-0.741843235675476,0.328050889151311,0.136106250911829,-0.134262755783024,NA,"harc","katonák","tanulók","motiváció","ellenfél",2,4,3,5,1,"személy","újság","nő","öltöny","undor",3,4,4,4,1,4,5,4,4,2,4,5,3,2,1,"bármilyen visszajelzése lehet, egyszerűbb személyesen konzultálni.","semleges","bizakodó","motiváló",3,5,5,2,4,5,71,81,5,5,4,50,40,"magamban hangsúlyoztam a szavakat",6,6,2,4,3,6,6,5,5,5,5,4,4,5,4,3,4,3,4,5,4,4,4,4,4,5,0,0,1,1,0,0,1,1,1,1,0,0,1,0,2,4,3,4,2,3,4,2,2,5,5,4,3,3,5,2,3,3,4,3,2,2,2,3,2,2,2,3,2,2,6,5.25,4.5,3.75,4,4.5,3,3.2,3.8,3,0.538461538461538,3.875,3.27777777777778,4.33333333333333,3.27777777777778,2.41666666666667,3.375,3,2.66666666666667,2.16666666666667,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0.466666666666667,234.09,218.094,15.3,14.7680059588287,15.3,14.7680059588287,0.479852673588088,0.381292021466719,0,0.861144695054807
"6","R_11hLgcB8gYcOlQn",0.372293462191264,0.332675868142116,-0.191789274295478,0.1774209661245,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehézség","fejlődés","feladatok","idő","csapat",2,5,3,2,2,"fejlődés","szomorúság","elfogadás","sírás","hasznosság",5,1,4,1,4,5,4,2,2,2,2,4,4,3,1,"Átlagos hibákat vétettem, csak azért szeretne így konzultálni, mert ez az utolsó közös konzultációnk, vagy annyira rosszul sikerült, hogy csak élőben tudja elmondani a sok hibát.","zavartság","remény","félelem",2,4,2,4,4,4,61,95,4,4,4,61,96,"Nincs",5,5,3,2,3,3,5,3,3,3,4,5,5,3,2,3,3,2,2,2,2,2,4,3,4,3,0,0,1,1,1,1,0,0,1,1,1,0,1,0,4,4,4,3,3,3,4,4,4,5,3,4,2,4,4,4,4,4,3,4,3,3,3,4,2,2,4,4,3,3,5,3.5,4.25,2.75,3.5,3.5,2.8,3,3,2.8,0.615384615384615,2.25,3.72222222222222,2.66666666666667,3.72222222222222,3.16666666666667,3.625,3.5,3.33333333333333,3,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0.666666666666667,317.699,912.625,17.8241128811506,30.2096838778561,17.8241128811506,30.2096838778561,0.57292060892022,0.779977436748807,0,1.35289804566903
"7","R_12GbHI1fdzVk6h4",-0.198186342662168,-0.641173299378254,-0.311720577685428,0.168395258531982,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","akarat","vágyakozás","várakozás","motiváció","siker",5,5,5,5,5,"negativ","rossz tett","tanulás","félelem","legyőzés",1,2,5,3,5,4,4,5,4,5,2,4,4,4,2,"Azt gondolom, hogy azt a visszajelzést fogom kapni, hogy pár hibát vétettem, de nagyon jól megcsinálta.","öröm","fáradtság","kiváncsiság",5,1,4,4,2,3,30,38,3,2,4,40,51,"nem",5,3,4,5,4,5,5,4,5,6,6,5,6,6,4,1,1,1,5,1,1,1,4,4,4,4,1,0,1,0,1,1,1,0,1,1,1,1,0,1,3,2,3,2,3,2,3,2,2,3,3,3,3,3,3,3,2,3,4,3,3,3,3,4,3,4,3,3,2,3,4,5,5.75,4.5,4,4,5,3.2,4.4,3.2,0.692307692307692,1.875,2.66666666666667,3.33333333333333,2.66666666666667,3.16666666666667,2.75,2.5,3.33333333333333,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.133333333333333,94.314,32.486,9.71153952779887,5.69964911200681,9.71153952779887,5.69964911200681,0.273797515866338,0.147158034580075,0,0.420955550446413
"8","R_12ncqk95C4oHcPO",0.541589136155609,0.539295625654431,0.43782754691513,-0.090998154569669,NA,"verseny","jó","pozitív","kaland","fejlődés",4,5,5,5,5,"zsűri","verseny","vélemény","rossz","lenézés",3,4,4,1,1,5,3,4,4,5,2,4,4,3,1,"valószínűleg több helyen bele fog kötni a dolgozatomba, inkább negatív lesz.","negatív","félelem","kíváncsiság",1,1,4,5,4,5,90,89,4,4,5,59,80,NA,4,5,5,5,6,5,6,5,5,5,6,6,6,6,2,2,3,1,2,2,1,1,4,3,3,5,0,0,1,1,1,0,0,0,1,1,1,0,0,1,4,4,5,5,4,5,5,5,4,2,4,1,2,4,4,3,4,2,4,3,2,2,1,2,3,5,5,5,5,5,4.5,5.25,6,5.25,3.5,4,4.8,2.6,4.2,2.8,0.538461538461538,1.75,3.72222222222222,2,3.72222222222222,3.5,3.25,4.5,2.33333333333333,4.66666666666667,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0.533333333333333,102.397,101.455,10.1191402796878,10.072487279714,10.1191402796878,10.072487279714,0.288826384306182,0.260059418095235,0.666666666666667,1.21555246906808
"9","R_12tzAmbTfzm9vcW",0.0635223149371285,-0.185685120877046,0.334613285601515,0.403721986171929,"a böngészőt átváltottam teljes képernyős módra","harc","jutalom","verseny","nehézség","gondolkodás",2,5,3,3,5,"értékelés","negatív","pozítív","személyes","kihívás",3,1,5,3,3,3,3,3,3,3,2,3,3,3,2,"Átbeszélni néhány részletet","kíváncsi","örül","megijedt",4,4,2,3,3,4,61,55,4,3,4,54,50,"nem",3,2,3,3,4,5,3,3,3,3,3,4,5,4,3,3,2,3,2,2,3,2,3,3,4,4,0,0,0,1,1,0,0,1,1,1,0,0,1,0,3,2,4,3,4,4,4,3,3,4,3,3,1,3,3,4,2,4,2,2,3,3,3,3,3,3,3,3,3,3,2.5,3,4,3.75,3,4,3.6,3,3,2.6,0.461538461538462,2.5,3.16666666666667,3.33333333333333,3.16666666666667,2.83333333333333,2.75,3.33333333333333,2.66666666666667,3,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0.75,0.466666666666667,213.862,290.235,14.6240213347766,17.0362848062598,14.6240213347766,17.0362848062598,0.454928297514924,0.439856233141497,0,1.89478453065642
"10","R_12znNUe9JAF49CL",-1.72329647376594,0.5018379668714,0.915760831981812,0.181048078699776,"kikapcsoltam a tv-t és leállítottam a zenét","erő","cél","motiváció","feladat","segítség",4,4,4,3,2,"Puzsér Róbert","Negatív","Vélemény","Értékelés","Figyelem",2,1,3,4,4,4,2,2,2,4,4,4,4,2,2,"Elmondja mi a jó és rossz benne.
Kijavítom a hibáimat, mivel a legjobbra törekszem.","stressz","feszültség","ideges",2,2,2,4,3,5,60,100,4,3,5,70,100,"nagyon figyeltem a színekre",3,3,2,4,5,3,4,5,5,5,5,5,5,5,3,2,2,1,2,2,2,1,3,5,3,5,0,0,0,1,1,0,0,1,1,1,1,0,0,1,5,5,5,4,4,4,5,4,3,4,3,3,2,2,2,2,4,4,4,3,3,4,3,3,4,4,4,4,4,4,3,4.75,5,3.5,4,4,3.4,2.8,2.8,3.2,0.538461538461538,1.875,3.61111111111111,2,3.61111111111111,3.66666666666667,2.625,4.5,3.33333333333333,4,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0.75,0.533333333333333,158.844,112.174,12.6033328925328,10.5912227811523,12.6033328925328,10.5912227811523,0.380422397769506,0.273452540260908,0.333333333333333,0.987208271363747
