"","ResponseId","Q187","chall_ass_self_1","chall_ass_self_2","chall_ass_self_3","chall_ass_self_4","chall_ass_self_5","chall_word_ev_1","chall_word_ev_2","chall_word_ev_3","chall_word_ev_4","chall_word_ev_5","crit_ass_self_1","crit_ass_self_2","crit_ass_self_3","crit_ass_self_4","crit_ass_self_5","crit_word_ev_1","crit_word_ev_2","crit_word_ev_3","crit_word_ev_4","crit_word_ev_5","chall_word_us_ev_1","chall_word_us_ev_2","chall_word_us_ev_3","chall_word_us_ev_4","chall_word_us_ev_5","crit_word_us_ev_1","crit_word_us_ev_2","crit_word_us_ev_3","crit_word_us_ev_4","crit_word_us_ev_5","pre_ms","pre_ms_words_4","pre_ms_words_5","pre_ms_words_6","ms_words_ev_1","ms_words_ev_2","ms_words_ev_3","chall_gnat_feedback_1","chall_gnat_feedback_2","chall_gnat_feedback_3","chall_gnat_correct_1","chall_gnat_attention_1","crit_gnat_feedback_1","crit_gnat_feedback_2","crit_gnat_feedback_3","crit_gnat_correct_1","crit_gnat_attention_1","Q194","iq_1","iq_2","fms_1","fms_2","fms_3","fms_4","crms_1","crms_2","crms_3","crms_4","chms_1","chms_2","chms_3","chms_4","grit_1","grit_2","grit_3","grit_4","grit_5","grit_6","grit_7","grit_8","fsc_1","fsc_2","crsc_1","crsc_2","chsc","mcsd_1","mcsd_2","mcsd_3","mcsd_4","mcsd_5","mcsd_6","mcsd_7","mcsd_8","mcsd_9","mcsd_10","mcsd_11","mcsd_12","mcsd_13","Q197_1","Q197_2","Q197_3","Q197_4","Q197_5","Q197_6","Q197_7","Q197_8","Q197_9","Q197_10","Q197_11","Q197_12","Q197_13","Q197_14","Q197_15","Q197_16","Q197_17","Q197_18"
"1","R_3JmIxqG6icirKjh","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","verseny","feladat","teljesítmény","motiváció","sikerélmény","semleges","inkább negatív","inkább pozitív","pozitív","pozitív","vélemény","nézőpont","elgondolkodtató","negatív","pozitív","semleges","inkább pozitív","pozitív","negatív","pozitív","pozitív","inkább negatív","semleges","inkább negatív","inkább pozitív","inkább negatív","pozitív","pozitív","semleges","inkább negatív","azt, hogy sokat kell javítani rajta, kérdések merültek fel benne","frusztráció","bizonytalanság","remény","negatív","inkább negatív","pozitív","Igen, nagyon.","Inkább igen.","Igen, nagyon.",40,90,"Igen.","Igen.","Igen.",29,91,"túl gyors volt a stratégiához","Nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Egyáltalán nem jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Igaz","Igaz","Hamis","Teljesen egyetértek","Teljesen egyetértek","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Nem értek egyet","Teljesen egyetértek","Teljesen egyetértek","Egyetértek","Nem értek egyet","Teljesen egyetértek","Egyet is értek, meg nem is.","Egyetértek","Egyáltalán nem értek egyet","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyetértek","Nem értek egyet","Nem értek egyet"
"2","R_3e2ppaO1k5qB7xV","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","feladat","megpróbáltatás","teljesítés","fejlődés","szakdolgozat","semleges","inkább negatív","pozitív","pozitív","inkább negatív","vélemény","fejlesztés","építő","sértő","átgondolandó","semleges","pozitív","pozitív","negatív","semleges","semleges","inkább negatív","semleges","inkább negatív","semleges","inkább negatív","semleges","semleges","semleges","inkább negatív","Szerintem bizonyos pontok javításáról szeretne majd velem beszélni. Esetleg még formai dolgokról vagy a logikai sorrendről, illetve az egyes részek arányairól.","aggodalom","pánik","kételkedés","negatív","negatív","negatív","Inkább igen.","Igen, nagyon.","Igen, nagyon.",30,40,"Igen.","Igen, nagyon.","Igen, nagyon.",20,40,"A gyorsaság ellenére próbáltam minél megfontoltabb lenni.","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Valamennyire jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Teljes mértékben jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Hamis","Hamis","Igaz","Igaz","Egyetértek","Egyetértek","Egyetértek","Egyetértek","Egyetértek","Teljesen egyetértek","Egyetértek","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Nem értek egyet","Egyetértek","Egyet is értek, meg nem is.","Nem értek egyet","Egyetértek","Egyetértek"
"3","R_3p4Qb28bT2uWdvm","a böngészőt átváltottam teljes képernyős módra","feladat","izgalom","most megmutathatom","erő","öröm","pozitív","pozitív","pozitív","pozitív","pozitív","Negítv","Építő","rosszul esik","elgondolkodtat","bánt","negatív","pozitív","inkább negatív","pozitív","inkább negatív","pozitív","inkább pozitív","pozitív","inkább negatív","pozitív","semleges","pozitív","pozitív","pozitív","inkább pozitív","Valószínűleg (ha már a prezentációnál tarthatok) valami megerősítést mond, vagy egy-két ötletet Javító szándékkal.","Izgalom","Várakozás","Bizakodás","pozitív","pozitív","pozitív","Inkább nem.","Közepesen.","Inkább igen.",39,50,"Nem.","Igen.","Igen, nagyon.",30,50,"A színekre próbáltam figyelni, de elég nehéz volt váltani pl. a pozitívról negtívra","Egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Teljes mértékben jellemző rám","Teljes mértékben jellemző rám","Teljes mértékben jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Nem értek egyet","Nem értek egyet","Egyetértek","Nem értek egyet","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Egyetértek","Egyetértek","Egyet is értek, meg nem is.","Teljesen egyetértek","Egyetértek","Egyáltalán nem értek egyet"
"4","R_2rkZPj8scp6GGBc","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehéz","verseny","lehetőség","megmérettetés","feladat","inkább negatív","inkább pozitív","pozitív","inkább pozitív","semleges","vélemény","negatív","vizsgálat","film","bölcs","semleges","negatív","semleges","inkább pozitív","pozitív","inkább pozitív","inkább negatív","inkább pozitív","inkább negatív","semleges","semleges","inkább pozitív","inkább pozitív","semleges","inkább negatív","Felhívná a figyelmemet égető hibákra, melyeket gyorsan javítanom kellene.","Félelem","Izgalom","Rémület","inkább negatív","semleges","negatív","Inkább igen.","Inkább igen.","Inkább igen.",38,83,"Igen.","Igen.","Igen.",24,78,"Nem volt.","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Inkább egyetértek","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Igaz","Igaz","Igaz","Igaz","Hamis","Hamis","Igaz","Igaz","Igaz","Igaz","Hamis","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Egyetértek","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Nem értek egyet","Egyet is értek, meg nem is.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Nem értek egyet","Egyetértek","Egyet is értek, meg nem is."
"5","R_2aKziqynAWv188V","kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","Nehéz","Kitartás","Bátorság","Jutalom","Elszántság","semleges","pozitív","pozitív","pozitív","pozitív","Negatív","Pozitív","Sértő","Építő","Vélemény","negatív","pozitív","negatív","pozitív","semleges","inkább pozitív","inkább negatív","inkább pozitív","inkább negatív","semleges","semleges","pozitív","semleges","semleges","semleges","Elöszőr megijednék, hogy valami rossz hírt szeretne közölni. De könnyen meglehet, hogy a tanárom fontos észrevételt tett a prezentációmban és úgy gondolja könnyebb/egyszerűbb lenne személyesen átbeszélni.","Bizonytalanság","Bizakodás","Félelem","inkább negatív","pozitív","negatív","Egyáltalán nem.","Közepesen.","Igen, nagyon.",71,96,"Egyáltalán nem.","Közepesen.","Igen, nagyon.",60,94,"Nem volt.","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Nagyon jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Hamis","Hamis","Hamis","Hamis","Egyetértek","Teljesen egyetértek","Egyetértek","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Nem értek egyet","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Nem értek egyet","Egyet is értek, meg nem is."
"6","R_2eRSnjknjrshUZm","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","verseny","feladat","bonyolult","nehéz","győzelem","semleges","semleges","negatív","negatív","pozitív","negatív","pozitív","építő","bántó","filmek","negatív","pozitív","pozitív","negatív","semleges","inkább pozitív","pozitív","inkább pozitív","inkább pozitív","semleges","inkább negatív","inkább pozitív","inkább negatív","semleges","negatív","Azt, hogy jó lett. Még egy-két dolgot szeretne hozzáadni. Építő jellegű kritika.","izgalom","félelem","szorongás","inkább pozitív","inkább negatív","negatív","Igen, nagyon.","Inkább igen.","Igen, nagyon.",85,90,"Igen.","Közepesen.","Igen, nagyon.",95,95,"Próbáltam minél gyorsabban értelmezni és reagálni.","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Valamennyire jellemző rám","Nagyon jellemző rám","Teljes mértékben jellemző rám","Nagyon jellemző rám","Kevéssé jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Hamis","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Hamis","Hamis","Hamis","Igaz","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Egyet is értek, meg nem is.","Nem értek egyet","Egyetértek","Teljesen egyetértek","Egyetértek","Teljesen egyetértek","Nem értek egyet","Egyetértek","Egyet is értek, meg nem is.","Teljesen egyetértek","Teljesen egyetértek","Egyáltalán nem értek egyet"
"7","R_ukdgQ7hgvCYOG2t","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","eredmény","győzelem","verseny","újdonság","sport","inkább pozitív","pozitív","pozitív","inkább pozitív","inkább pozitív","kritikus","negatív","vélemény","Puzsér Róbert","étel","inkább negatív","inkább negatív","inkább pozitív","semleges","pozitív","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","inkább pozitív","semleges","pozitív","semleges","semleges","semleges","Negatív visszajelzés, építő kritikákaval illeti a prezentációmat, tanácsokat ad azzal kapcsolatban, hogy hogyan folytassam a munkát","félelem","izgalom","kíváncsiság","negatív","inkább pozitív","semleges","Közepesen.","Inkább igen.","Inkább igen.",60,71,"Közepesen.","Igen.","Igen.",66,74,"nem","Egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Kevéssé jellemző rám","Valamennyire jellemző rám","Kevéssé jellemző rám","Nagyon jellemző rám","Egyáltalán nem jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Hamis","Igaz","Hamis","Hamis","Hamis","Hamis","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Teljesen egyetértek","Egyetértek","Egyetértek","Egyetértek","Teljesen egyetértek","Egyet is értek, meg nem is.","Teljesen egyetértek","Nem értek egyet","Egyet is értek, meg nem is.","Egyáltalán nem értek egyet","Nem értek egyet","Teljesen egyetértek","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyet is értek, meg nem is."
"8","R_YVptSgbNCrjU4lX","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","harc","küzdelem","nehézség","fejlődés","stressz","inkább negatív","inkább negatív","negatív","pozitív","negatív","pozitív","negatív","fejlődés","színház","határérték","pozitív","negatív","pozitív","pozitív","semleges","semleges","inkább negatív","semleges","semleges","semleges","inkább pozitív","pozitív","semleges","inkább pozitív","inkább negatív","Jó az irány, apróbb javítások szükségesek, illetve még hozzá lehetne fűzni egy-két dolgot.","Örülök, mert sokat haladtam","Izgulok, hogy mit szeretne mondani","Reménykedem, hogy már nem kell sok a befejezéséig","pozitív","inkább negatív","semleges","Közepesen.","Közepesen.","Inkább igen.",60,80,"Közepesen.","Közepesen.","Igen.",80,95,"nem","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Nem értek egyet","Teljes mértékben jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Valamennyire jellemző rám","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Hamis","Hamis","Hamis","Igaz","Igaz","Hamis","Hamis","Igaz","Igaz","Igaz","Hamis","Egyetértek","Egyetértek","Egyetértek","Egyetértek","Egyetértek","Teljesen egyetértek","Egyetértek","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Egyáltalán nem értek egyet","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Nem értek egyet"
"9","R_9NoUzR8pFcX3o9b","a böngészőt átváltottam teljes képernyős módra","erőltetés","basztatás","unalom","barátság","bebeszélés","inkább negatív","negatív","semleges","inkább negatív","negatív","utálat","keménység","személyeskedés","megbántás","vád","negatív","negatív","negatív","negatív","negatív","inkább negatív","inkább pozitív","inkább negatív","inkább negatív","inkább negatív","negatív","inkább negatív","inkább pozitív","inkább pozitív","negatív","Biztosan azt mondja, hogy nagyon jól sikerült és a későbbiekben velem dolgozna.","izgatottság","megelégedés","megnyugvás","inkább pozitív","inkább pozitív","inkább pozitív","Igen, nagyon.","Inkább igen.","Igen, nagyon.",81,76,"Igen, nagyon.","Igen, nagyon.","Igen.",43,38,"nem","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Teljes mértékben egyetértek","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Nagyon jellemző rám","Egyáltalán nem jellemző rám","Nagyon jellemző rám","Egyáltalán nem jellemző rám","Nagyon jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Egyáltalán nem jellemző rám","Egyáltalán nem valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Igaz","Hamis","Igaz","Igaz","Hamis","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Nem értek egyet","Egyáltalán nem értek egyet","Egyet is értek, meg nem is.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Egyet is értek, meg nem is.","Nem értek egyet","Teljesen egyetértek","Egyáltalán nem értek egyet","Teljesen egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Teljesen egyetértek","Egyet is értek, meg nem is.","Nem értek egyet","Nem értek egyet"
"10","R_0CaYOn5kqkpMEMx","lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","feladat","akadály","munka","küzdelem","probléma","inkább pozitív","semleges","semleges","semleges","inkább negatív","vélemény","kifogás","ítélet","hozzászólás","elemzés","semleges","inkább negatív","negatív","inkább pozitív","semleges","semleges","semleges","inkább pozitív","semleges","inkább pozitív","inkább negatív","inkább pozitív","inkább pozitív","semleges","inkább negatív","Valószínűleg nem feltétlenül pozitív visszajelzésre számíthatok, ha személyesen szeretne konzultálni róla","motiváció","aggodalom","bizonytalanság","inkább pozitív","inkább negatív","negatív","Közepesen.","Közepesen.","Inkább igen.",50,50,"Közepesen.","Nem.","Igen.",60,60,"nem","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Valamennyire jellemző rám","Kevéssé jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Valamennyire jellemző rám","Nagyon jellemző rám","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Igaz","Igaz","Igaz","Igaz","Igaz","Igaz","Igaz","Igaz","Hamis","Igaz","Igaz","Igaz","Hamis","Egyetértek","Egyetértek","Egyetértek","Teljesen egyetértek","Egyetértek","Egyet is értek, meg nem is.","Egyetértek","Teljesen egyetértek","Egyet is értek, meg nem is.","Teljesen egyetértek","Egyetértek","Egyetértek","Nem értek egyet","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyet is értek, meg nem is.","Egyetértek","Egyet is értek, meg nem is."
