"","ResponseId","d_sens_crit","criticism_d","d_sens_chall","challange_d","challenge_seeking","t1p1_correct","t1p2_correct","t1p3_correct","t1p4_correct","t1pp1_correct","t1pp2_correct","t1pp3_correct","t1tp1_correct","t1tp2_correct","t1tp3_correct","t1tp4_correct","t1tp5_correct","t1tp6_correct","t1tp7_correct","t1tp8_correct","set1_scoreraw","eiottime","perssec","eiottimetrans","perstrans","ewd","pers_wd","effort","persistence","resilience","perc_score","Q187","chall_ass_self_1","chall_ass_self_2","chall_ass_self_3","chall_ass_self_4","chall_ass_self_5","chall_word_ev_1","chall_word_ev_2","chall_word_ev_3","chall_word_ev_4","chall_word_ev_5","crit_ass_self_1","crit_ass_self_2","crit_ass_self_3","crit_ass_self_4","crit_ass_self_5","crit_word_ev_1","crit_word_ev_2","crit_word_ev_3","crit_word_ev_4","crit_word_ev_5","chall_word_us_ev_1","chall_word_us_ev_2","chall_word_us_ev_3","chall_word_us_ev_4","chall_word_us_ev_5","crit_word_us_ev_1","crit_word_us_ev_2","crit_word_us_ev_3","crit_word_us_ev_4","crit_word_us_ev_5","pre_ms","pre_ms_words_4","pre_ms_words_5","pre_ms_words_6","ms_words_ev_1","ms_words_ev_2","ms_words_ev_3","chall_gnat_feedback_1","chall_gnat_feedback_2","chall_gnat_feedback_3","chall_gnat_correct_1","chall_gnat_attention_1","crit_gnat_feedback_1","crit_gnat_feedback_2","crit_gnat_feedback_3","crit_gnat_correct_1","crit_gnat_attention_1","Q194","iq_1","iq_2","fms_1","fms_2","fms_3","fms_4","crms_1","crms_2","crms_3","crms_4","chms_1","chms_2","chms_3","chms_4","grit_1","grit_2","grit_3","grit_4","grit_5","grit_6","grit_7","grit_8","fsc_1","fsc_2","crsc_1","crsc_2","chsc","mcsd_1","mcsd_2","mcsd_3","mcsd_4","mcsd_5","mcsd_6","mcsd_7","mcsd_8","mcsd_9","mcsd_10","mcsd_11","mcsd_12","mcsd_13","intdel_1","intdel_2","intdel_3","intdel_4","intdel_5","intdel_6","intdel_7","intdel_8","intdel_9","intdel_10","intdel_11","intdel_12","intdel_13","intdel_14","intdel_15","intdel_16","intdel_17","intdel_18","iqms_avg","crms_avg","chms_avg","fms_avg","fsc_avg","crsc_avg","chall_ev_participant","crit_ev_participant","chall_ev_us","crit_ev_us","mcsd","grit_avg","pre_ms_ev","intuition_pid","deliberation_pid"
"1","R_0CaYOn5kqkpMEMx",0.377572281224519,0.095868367794373,0.886086539262996,0.430276909638489,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,2,99.528,75.829,9.9763720860842,8.70798484151184,9.9763720860842,8.70798484151184,0.28181117329087,0.297735609535966,1,1.57954678282684,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","feladat","akadály","munka","küzdelem","probléma",4,3,3,3,2,"vélemény","kifogás","ítélet","hozzászólás","elemzés",3,2,1,4,3,3,3,4,3,4,2,4,4,3,2,"Valószínűleg nem feltétlenül pozitív visszajelzésre számíthatok, ha személyesen szeretne konzultálni róla","motiváció","aggodalom","bizonytalanság",4,2,1,3,3,4,50,50,3,2,4,60,60,"nem",3,4,2,3,4,3,4,4,4,4,4,4,5,5,3,4,3,2,3,4,3,2,4,5,4,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4,4,4,5,4,3,4,5,3,5,4,4,2,3,3,3,4,3,3.5,4,4.5,3,4.5,4.5,3,2.6,3.4,3,0.230769230769231,3,2.33333333333333,3.22222222222222,4.22222222222222
"2","R_0pPq6DFiYD3yeoF",0.898472204047936,0.0595672745268168,-0.629164352392881,-0.498083320685394,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,4,167.751,221.261,12.9518724515029,14.8748445370027,12.9518724515029,14.8748445370027,0.422729658074597,0.508587346622935,0,1.93131700469753,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehéz","vállalás","kockázat","lehetőség","most",2,5,2,5,3,"vélemény","negatív","pozitív","színdarab","támadás",4,1,5,3,1,4,1,3,2,2,3,4,4,3,2,"Lesznek megjegyzései, de alapvetően pozitívan értékel, csak nem szeretné emailben hosszasan leírni.","érdeklődés","frusztráció","remény",5,2,4,3,4,5,66,77,4,4,5,50,54,"a színekre figyeltem, igyekeztem megjegyezni a szavakat, amik adott kategóriához tartoznak",5,5,2,4,5,4,5,4,4,5,6,6,5,5,2,2,3,2,2,2,2,2,3,5,4,5,1,0,1,1,1,1,1,0,1,1,1,0,1,1,5,5,5,4,5,5,5,5,4,5,4,5,2,3,5,4,5,3,5,4.5,5.5,3.75,4,4.5,3.4,2.8,2.4,3.2,0.769230769230769,2.125,3.66666666666667,3.88888888888889,4.88888888888889
"3","R_10B3kvGoWMejTge",1.17739555158165,-0.445101117515489,0.20933906166978,-0.163732034908738,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,4,118.627,102.228,10.8916022696388,10.1107863195698,10.8916022696388,10.1107863195698,0.325156101825836,0.345698939827551,1,1.67085504165339,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","félelem","tanulás","fejlődés","nehézségek","teljesítés",1,5,5,2,4,"félelem","szorongás","építő","romboló","fejlődés",1,1,5,1,5,4,2,2,2,4,2,4,4,1,1,"Mivel nem írta bele, hogy alapjaiban jó, amit csináltam, biztosan sok hibát talált benne vagy nem tetszik neki.  Arra gondolok, hogy sokat kell majd javítanom az eddigi munkámon.","szorongás","félelem","düh",1,1,1,5,5,5,65,80,4,4,5,70,85,"Igen, csak a középen megjelenő szavakra fókuszáltam és közben a kiválasztandó kategóriákra gondoltam.",6,5,1,3,4,3,3,2,4,4,4,4,6,5,3,3,3,2,2,2,3,1,4,4,4,2,0,0,1,1,1,0,0,1,0,1,1,0,1,0,5,5,4,5,5,5,5,2,5,5,5,3,2,3,4,4,4,5,5.5,3.25,4.75,2.75,4,3,3.4,2.6,2.8,2.4,0.538461538461538,2.375,1,3.88888888888889,4.55555555555556
"4","R_10GfuiEhH3xqb5g",0.0456639360541358,-0.338582876167523,0.306969824309662,0.104444536450052,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,4,170.361,213.035,13.0522411868614,14.5957185503147,13.0522411868614,14.5957185503147,0.427483080480708,0.499043721169234,1,2.92652680164994,NA,"nehéz","tanulás","munka","siker","játék",1,3,3,5,3,"negatív","szülők","rendszer","állam","film",1,1,3,3,4,3,2,3,2,3,2,3,3,2,1,"Valószínüleg összségében tetszeni fog neki, bár talál benne néhány részt, amit átírna, másképp fogalmazna, vagy változtatna rajta.","kiváncsiság","érdeklődés","ijedtség",3,3,1,3,4,5,75,70,3,4,5,65,60,"nem",5,6,5,5,5,5,5,5,5,5,5,6,3,4,4,2,4,2,2,2,3,2,4,5,5,5,0,0,1,0,1,0,1,0,1,1,0,1,1,0,4,3,3,4,4,4,5,3,2,5,3,5,2,5,3,3,2,2,5.5,5,4.5,5,4.5,5,3,2.4,2.6,2.2,0.538461538461538,2.625,2.33333333333333,3,3.88888888888889
"5","R_11gsSKnsNzjQ1y3",0.131095828829164,0.107982829658685,-0.663568223378776,-0.590524523645492,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,4,262.028,345.327,16.1872789560198,18.582976080273,16.1872789560198,18.582976080273,0.575957191693727,0.635372455390241,1,2.21132964708397,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","élet","egyetem","stressz","nehéz","siker",4,5,4,5,5,"stressz","harag","elfogadás","belátás","változás",2,1,4,4,3,4,4,3,4,3,4,4,4,3,2,"Megbeszélné velem a negatív és pozitív részeit, illetve milyen irányban kellene korrigálnom a prezentációt.","nyugalom","magabiztosság","nyitottság",5,5,5,5,3,4,25,60,4,1,4,40,60,"igyekeztem fejben szétválasztani a fehér és kék szövegek két csoportját jelentésük szerint",5,6,2,2,5,6,5,3,5,4,4,4,5,5,3,3,2,4,1,1,2,3,4,4,4,4,0,0,0,1,1,1,0,1,1,0,1,1,0,0,4,4,2,2,4,3,2,1,4,5,4,4,3,3,4,5,4,5,5.5,4.25,4.5,3.75,4,4,4.6,2.8,3.6,3.4,0.538461538461538,2.375,5,4,3
"6","R_12g7QliQ63m52Ev",0.625275679114174,0.570009817419529,-1.17124952339104,-0.0872880052051803,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,3,165.134,150.097,12.8504474630263,12.2514080823389,12.8504474630263,12.2514080823389,0.417926211951237,0.418889159714678,1,1.83681537166592,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","nehézség","munka","büszkeség","élet","szükséges",2,3,5,3,3,"jó","rossz","sértő","építő","bántó",3,1,1,5,1,2,3,2,3,2,3,4,3,4,2,"Hogy még mit lehetne rajta javítani.","törődés","megbecsülés","kis ijedtség",5,5,2,2,4,5,45,72,3,4,5,41,50,"nem",2,2,2,2,3,3,3,3,3,2,4,4,4,5,3,4,2,3,2,3,3,2,4,5,4,4,0,0,0,1,1,0,1,1,1,1,1,0,1,0,4,4,4,4,4,5,4,2,4,4,4,5,3,5,4,3,4,3,2,2.75,4.25,2.5,4.5,4,3.2,2.2,2.4,3.2,0.615384615384615,2.75,4,3.88888888888889,3.88888888888889
"7","R_12KfoivHAP3l91s",1.10656273317395,-0.011067063130958,1.11694179975066,-0.295657582539327,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,4,111.543,65.915,10.5613919537152,8.11880533083532,10.5613919537152,8.11880533083532,0.309517475825078,0.277590912004899,1,2.58710838782998,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét","harc","kudarc","győzelem","feladat","cél",3,2,4,4,4,"ego","önbizalom","viselkedés","teljesítmény","eredmény",2,4,4,4,4,4,3,4,3,2,2,4,4,4,2,"szerintem, nem tetszik neki az alkotásom. konzultációk hiányában nem mutatott utat, merre kéne haladnom, s így teljesen más úton haladtam. neki nem tetszik a végeredmény..  csak a szokásos..","felesleges erőfeszítés","csalódás","idő",2,1,2,4,3,5,74,47,4,2,5,81,55,"volt.  odafigyeltem!",5,5,5,4,4,3,5,2,5,4,5,4,5,5,3,2,4,3,3,2,3,2,4,5,3,4,1,1,0,0,1,0,0,1,1,0,1,0,1,0,4,4,4,4,3,4,2,4,4,4,3,4,4,4,3,3,2,3,5,4,4.75,4,4.5,3.5,3.4,3.6,3.2,3.2,0.461538461538462,2.75,1.66666666666667,3.33333333333333,3.66666666666667
"8","R_12KJZxkboN9yX6w",-0.48983115007021,-0.292667589151782,-0.176033822059802,-0.509926400748222,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,4,307.635,177.02,17.5395267895117,13.3048863204463,17.5395267895117,13.3048863204463,0.639999098044141,0.454908743012589,1,3.09490784105673,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","feladat","küzdelem","teljesítés","bizonyítás","megmérettetés",3,2,4,4,3,"vélemény","becsmérlés","megszólás","bántás","építő jellegű",3,1,1,1,5,3,2,4,2,2,2,4,3,3,1,"Valami nem lehet jó, de nem csak egy tárgyi tévedés, hanem az egész hangvétele, aminek a közlése kevésbé bántó jobban körül lehet írni szóban, mint írásban, vagy olyan több hiba van amit felsorolni is sok és esetleg jobb lenne szóban mindent átbeszélni.","ijesztő","aggasztó","kíváncsi",1,1,4,3,3,5,64,89,2,3,5,75,95,"A két kategóriát az elején mondogattam magamban, hogy megjegyezzem, és ne kelljen megnézni, mert amúgy sem lett volna rá idő, és nagyon koncentráltam.",5,2,1,4,3,2,4,4,4,4,4,5,5,4,4,4,4,2,2,2,3,2,1,3,3,4,0,0,1,1,1,1,1,0,1,1,1,0,0,1,4,4,4,5,4,3,3,4,2,5,4,5,4,3,4,4,4,4,3.5,4,4.5,2.5,2,3.5,3.2,2.2,2.6,2.6,0.692307692307692,2.875,2,3.77777777777778,4
"9","R_1BUZvVsEEk1RVjb",0.266504605650455,-0.033769507249823,-1.29386182297635,0.547147337584866,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,73.393,232.921,8.56697146020693,15.261749572051,8.56697146020693,15.261749572051,0.215062533982969,0.521816056656225,1,2.73687859063919,"lenémítottam a telefonom,kikapcsoltam a tv-t és leállítottam a zenét,a böngészőt átváltottam teljes képernyős módra","győzelem","hajtás","fáradság","vesztés","ellenfél",4,1,1,1,1,"film","férfi","veszteség","könyv","rossz",4,3,1,3,1,2,3,3,2,2,4,4,3,4,1,"Hogy sok jó dolgot írtam, de talán nem így építette volna fel, nem is biztos hogy megértettem a témát,, ha ezt így akarom elmondani. Valószínűleg kedvesen fog visszajelezni, de nekem teljesen eltűnik az önbecsülésem","szorongás","türelmetlenség","fáradság",1,3,2,3,2,5,70,62,3,3,5,80,85,"gondoltam egy élményre ami mondjuk, kihívás volt, de pozitív(pl. az élet :D), vagy kihívás volt és negatív (pl. egy vizsga)",5,4,1,2,2,4,2,2,1,4,6,6,4,6,5,3,3,2,3,4,3,2,1,2,3,5,0,0,0,0,1,1,0,1,1,1,0,0,0,1,5,1,5,5,5,5,4,3,4,5,2,5,2,3,5,4,2,3,4.5,2.25,5.5,2.25,1.5,4,1.6,2.4,2.4,3.2,0.461538461538462,3.125,2,3.33333333333333,4.22222222222222
"10","R_1C7l4SOqYWAbS7C",0.523835213239345,0.722091250754617,0.449365931411003,0.127339991178685,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,4,298.423,209.245,17.2749240229878,14.4653033151746,17.2749240229878,14.4653033151746,0.627467618847736,0.494584680388396,1,3.12205229923613,"lenémítottam a telefonom,a böngészőt átváltottam teljes képernyős módra","fejlődés","nehézség","siker","eltántorodik","megoldás",5,2,5,1,4,"negatív","megbántás","pozitív","javítás","leszól",1,1,5,5,1,3,1,5,4,4,2,5,3,4,2,"Biztos nem lett tökéletes, sem értékelhetetlen, mert ezeket e-mailben is le tudta volna írni. Tehát a két véglet között van. Biztos több dologról is szeretne beszélni, ezért ajánlotta fel a személyesen konzultációt. Előre nem gondolkozok azon, hogy negatív vagy pozitív lesz-e a visszajelzés, sőt örülök annak, hogy inkább szóban fogunk beszélni, mert így személyesebb a dolog és a közben felmerülő kérdéseimre is rögtön választ kaphatok.","kíváncsi","izgatott","elégedett",5,4,5,4,4,5,60,91,3,3,5,66,89,"A melléknevekre jobban koncentráltam, mint a főnevekre.",5,4,1,2,2,3,4,3,4,4,4,4,5,5,4,3,5,2,2,4,3,3,4,3,3,5,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,3,2,3,2,2,2,2,2,4,4,4,2,2,4,2,2,4,4.5,3.75,4.5,2,3.5,4,3.4,2.6,3.4,3.2,0.307692307692308,3.25,4.66666666666667,2.88888888888889,2.66666666666667
