"","assoc","word","order_mean","n","attitude_mean"
"1","CHALLENGE","power",2.75,32,4.54666666666667
"2","CHALLENGE","erdekes",3,2,5
"3","CHALLENGE","adventure",2.28571428571429,14,4.40833333333333
"4","CHALLENGE","work",2.60526315789474,38,3.0995670995671
"5","CHALLENGE","adrenalin",2,3,4.33333333333333
"6","CHALLENGE","task",2.31746031746032,63,3.20017316017316
"7","CHALLENGE","development",3.16,50,4.85952380952381
"8","CHALLENGE","competition",2.57142857142857,35,3.64619047619048
"9","CHALLENGE","idobeosztas",3.25,4,2.5
"10","CHALLENGE","opportunity",2.3125,32,4.69570707070707
"11","CHALLENGE","trying",3.05882352941176,34,3.47142857142857
"12","CHALLENGE","novelty",3.4,10,3.93333333333333
"13","CHALLENGE","fear",3.2,10,1.66666666666667
"14","CHALLENGE","result",3.3125,16,4.40666666666667
"15","CHALLENGE","merni",1,1,4
"16","CHALLENGE","elhivatottsag",3.8,5,4.66666666666667
"17","CHALLENGE","trial",2.6875,16,3.45666666666667
"18","CHALLENGE","difficulty",2.29896907216495,97,2.13519047619048
"19","CHALLENGE","performance",2.6875,32,4.11666666666667
"20","CHALLENGE","success",3.2463768115942,69,4.8047619047619
"21","CHALLENGE","jutalom",3.77777777777778,9,5
"22","CHALLENGE","struggle",2.42,50,3.53444444444444
"23","CHALLENGE","goal",2.6875,48,4.51520202020202
"24","CHALLENGE","bizonyitas",4,7,4.44444444444444
"25","CHALLENGE","pozitivitas",2.5,2,5
"26","CHALLENGE","elszantsag",2.25,4,4.83333333333333
"27","CHALLENGE","utazas",1,2,5
"28","CHALLENGE","learning",3,27,3.855
"29","CHALLENGE","h",3,5,3
"30","CHALLENGE","challenge",1,1,4
"31","CHALLENGE","obstacle",2.77272727272727,22,2.71333333333333
"32","CHALLENGE","erosit",1,1,4
"33","CHALLENGE","buszkeseg",2.75,4,4.5
"34","CHALLENGE","elbukas",3,3,1.33333333333333
"35","CHALLENGE","sport",3,8,4.29166666666667
"36","CHALLENGE","doga",1,1,2
"37","CHALLENGE","versenges",2.66666666666667,3,3.66666666666667
"38","CHALLENGE","tulelni",1,1,2
"39","CHALLENGE","rajz",1,1,5
"40","CHALLENGE","mindennapok",1,1,5
"41","CHALLENGE","epito",1,1,5
"42","CHALLENGE","eletem",1,1,4
"43","CHALLENGE","gyerekek",2.5,2,5
"44","CHALLENGE","problema",3.33333333333333,6,2.375
"45","CHALLENGE","motivation",2.84,25,4.86666666666667
"46","CHALLENGE","uj szituacio",1,1,NA
"47","CHALLENGE","ambicio",2.6,5,4.66666666666667
"48","CHALLENGE","ugyesseg",2,2,4.5
"49","CHALLENGE","felkeszules",3.2,5,4
"50","CHALLENGE","versenyszellem",3,6,4
"51","CHALLENGE","excitement",3.1304347826087,23,4.1
"52","CHALLENGE","hajra",2.5,2,5
"53","CHALLENGE","problemas",1,1,2
"54","CHALLENGE","teher",1.33333333333333,3,1.25
"55","CHALLENGE","fizkem",1,1,1
"56","CHALLENGE","kredit",1,1,3
"57","CHALLENGE","esely",1.66666666666667,3,4.75
"58","CHALLENGE","stress",3.6,15,1.62666666666667
"59","CHALLENGE","izgatottsag",2.5,2,4.5
"60","CHALLENGE","ismeretlen",2.83333333333333,6,2.875
"61","CHALLENGE","turelem",2.85714285714286,7,4.75
"62","CHALLENGE","motivaltsag",1,1,5
"63","CHALLENGE","iskola",3,5,3.16666666666667
"64","CHALLENGE","megprobaltatas",3.22222222222222,9,3.29166666666667
"65","CHALLENGE","behivas",1,2,3
"66","CHALLENGE","meccs",1,1,3
"67","CHALLENGE","life",3.66666666666667,15,4.30666666666667
"68","CHALLENGE","matek",1,1,2
"69","CHALLENGE","willpower",3.5625,16,4.41666666666667
"70","CHALLENGE","batorsag",2.66666666666667,9,4.53333333333333
"71","CHALLENGE","kuldetes",1.33333333333333,3,4
