"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5"
"1","r_3ql5xkhrsfmgrv0","erö","megfelelés","önismeret","kényszer","gyözelem",5,2,5,3,4,"rosszindulat","átgondolás","önismeret","elöadásforma","tapintat",1,5,5,3,5
"2","r_23nclpvx4sb9dgt","érdekes","nem unalmas","változatosság","nehézségek","siker",5,5,5,2,5,"visszajelzés","ötletek","félelem","értékelés","más szemlélet",5,5,1,3,4
"3","r_20tex6wnivnd9zc","kaland","móka","energia","fárasztó","ismeret",5,5,5,2,4,"előbbrevitel","támogató","őszinte","gonosz","lehúzó",5,5,5,1,1
"4","r_2caxnyvxc1zwa8i","munka","fáradság","fejlődés","nehézség","kitartás",2,2,4,2,4,"építő","romboló","visszatartó","mindenki","viszolygás",4,1,2,2,1
"5","r_25zlqt1cvltwqgj","adrenalin","stressz","fejlodes","presztizs","jutalom",4,2,4,5,5,"fejlodes","epules","tamadas","javulas","folyamat",5,5,1,4,3
"6","r_old88k73xjcl6lh","feladat","fejlődés","lehetőség","mérce","idegesség",3,5,5,2,1,"ijedtség","fejlődés","düh","megfontolás","javítás",2,4,1,5,5
"7","r_3r95hvf7ojpatli","fejlődés","akadály","ugrás","feladat","growth mindset",5,3,4,3,5,"építő","feedback","rosszindulatú","tanulás","fejlődés",5,5,1,5,5
"8","r_1dnwjwsgjgosfth","verseny","cél","előrelépés","gondolkozni","csinálni",5,5,5,4,5,"rossz","jó","fejlődési lehetőség","javítás","összeomlás",1,5,5,4,1
"9","r_agvnfpmowfwtdkt","időbeosztás","pénzügy","öröm","határidő","akadály",2,1,5,2,4,"lelkiismeret","teljesítmény","munka","tanulság","mentor",2,4,3,5,5
"10","r_1f3lpucaahmh10s","lehetőseg","előrelépés","önállóság","izgalom","segítség",5,5,5,4,4,"család","társadalom","változás","kitartás","erő",5,3,4,5,5
"11","r_uwqo4ummwsfjisj","probatetel","elegseges","teljesites","megprobaltatas","siker",4,4,4,4,5,"epito","fejleszto","vitriol","elvorosodes","hallgatas",4,4,1,2,4
"12","r_wxpewduiipc9fvv","újdonság","ismeretlen","lehetőség","kalandvágy","nehézség",4,3,5,5,2,"tanulás","visszajelzés","elgondolkodtató","kellemetlen","bántó",5,4,4,2,1
"13","r_1jwhbl7k275soaw","feladat","lehetőség","munka","próba","fejlődés",3,5,4,3,5,"őszinte","értékelés","negatív","pozitív","vélemény",4,3,1,4,3
"14","r_1jv5oanh1wtmxnq","kaland","energia","növekedés","élet","elte",5,5,5,4,4,"vélemény","gondolat","ötlet","építő","romboló",3,4,5,5,1
"15","r_3mmwwrvv279uwkx","félelem","izgalom","vezetés","komfortzóna","pánikzóna",1,4,2,3,1,"konstruktív","építő","negatív","konfliktus","fejlődés",5,5,1,3,5
"16","r_3szdtb5rx14ovng","lehetőség","feladat","nehézség","küzdelem","izgalom",5,3,2,2,5,"építő","fejlődés","negatív","belekötés","bírálat",5,5,1,1,2
"17","r_1nyoiuby364kqqv","fejlödés","eredmény","munka","küzdés","cél",5,5,4,3,4,"önkritika","udvariasság","kritikus gondolkozás","piszkálódás","film",3,5,5,2,3
"18","r_31abpqhafgraqjt","eredmény","fejlődés","lehetőség","kompetencia","bizonyítás",4,5,4,5,2,"hiba","elutasítottság","szerethetetlenség","megsemmisülés","szociális izoláció",1,1,1,1,1
