"","assoc","word","order_mean","n","attitude_mean"
"1","CHALLENGE","power",2.94444444444444,18,4.51
"2","CHALLENGE","erdekes",1,1,5
"3","CHALLENGE","adventure",2.375,8,4.5
"4","CHALLENGE","work",2.66666666666667,18,3.1
"5","CHALLENGE","adrenalin",1.5,2,4.5
"6","CHALLENGE","task",2.17857142857143,28,3.37380952380952
"7","CHALLENGE","development",3.46666666666667,30,4.90555555555556
"8","CHALLENGE","competition",2.5,14,3.63333333333333
"9","CHALLENGE","idobeosztas",2.5,2,2.5
"10","CHALLENGE","opportunity",2,20,4.64285714285714
"11","CHALLENGE","trying",3.28571428571429,21,3.90454545454545
"12","CHALLENGE","novelty",2.83333333333333,6,3.8
"13","CHALLENGE","feladat ",1,1,3
"14","CHALLENGE","fear",2.4,5,1.75
"15","CHALLENGE","result",3,7,4.7
"16","CHALLENGE","merni",1,1,4
"17","CHALLENGE","elhivatottsag",3.5,4,4.66666666666667
"18","CHALLENGE","trial",3.33333333333333,6,3.75
"19","CHALLENGE","difficulty",2.23255813953488,43,2.35416666666667
"20","CHALLENGE","performance",2.3125,16,3.96
"21","CHALLENGE","success",3.25714285714286,35,4.71333333333333
"22","CHALLENGE","jutalom",3.83333333333333,6,5
"23","CHALLENGE","struggle",2.61111111111111,18,3.71666666666667
"24","CHALLENGE","goal",2.35,20,4.69166666666667
"25","CHALLENGE","bizonyitas",4,6,4.33333333333333
"26","CHALLENGE","pozitivitas",2.5,2,5
"27","CHALLENGE","elszantsag",3,2,5
"28","CHALLENGE","utazas",1,2,5
"29","CHALLENGE","learning",3.07142857142857,14,4
"30","CHALLENGE","university",2.83333333333333,6,3.8
"31","CHALLENGE","h",3,5,3
"32","CHALLENGE","challenge",1,1,4
"33","CHALLENGE","obstacle",2.92307692307692,13,2.51666666666667
"34","CHALLENGE","erosit ",1,1,4
"35","CHALLENGE","buszkeseg",1.5,2,5
"36","CHALLENGE","elbukas",2,2,1
"37","CHALLENGE","sport",3,4,3.83333333333333
"38","CHALLENGE","doga",1,1,2
"39","CHALLENGE","versenges",2.66666666666667,3,3.66666666666667
"40","CHALLENGE","tulelni",1,1,2
"41","CHALLENGE","rajz",1,1,5
"42","CHALLENGE","mindennapok",1,1,5
"43","CHALLENGE","epito",1,1,5
"44","CHALLENGE","eletem",1,1,4
"45","CHALLENGE","gyerekek",1,1,5
"46","CHALLENGE","problema",2.66666666666667,3,2.66666666666667
"47","CHALLENGE","motivation",2.375,8,4.88888888888889
"48","CHALLENGE","ambicio",1,1,5
"49","CHALLENGE","ugyesseg",1,1,4
"50","CHALLENGE","felkeszules",3,2,3.5
"51","CHALLENGE","versenyszellem",2.5,2,4
"52","CHALLENGE","excitement",3.5,14,4.05
"53","CHALLENGE","hajra",1,1,5
"54","CHALLENGE","problemas",1,1,2
"55","CHALLENGE","teher",1.5,2,1.5
"56","CHALLENGE","fizkem",1,1,1
"57","CHALLENGE","kredit",1,1,3
"58","CHALLENGE","esely",2,2,5
"59","CHALLENGE","szivas",1,1,1
"60","CHALLENGE","stress",3.42857142857143,7,2
"61","CHALLENGE","izgatottsag",1,1,5
"62","CHALLENGE","verseny ",3.4,5,3.875
"63","CHALLENGE","ismeretlen",2.75,4,2.83333333333333
"64","CHALLENGE","turelem",3,3,5
"65","CHALLENGE","perseverance",2.94117647058824,17,4.7047619047619
"66","CHALLENGE","motivaltsag",1,1,5
"67","CHALLENGE","iskola",2.5,2,3.5
"68","CHALLENGE","megprobaltatas",3.6,5,4
"69","CHALLENGE","munkahely",1.5,2,4
"70","CHALLENGE","behivas",1,1,3
"71","CHALLENGE","tarsasag",1,1,1
"72","CHALLENGE","meccs",1,1,3
"73","CHALLENGE","life",3.42857142857143,7,4.375
"74","CHALLENGE","matek",1,1,2
"75","CHALLENGE","willpower",3.66666666666667,6,4
"76","CHALLENGE","batorsag",2.75,4,4.16666666666667
"77","CHALLENGE","kuldetes",1,1,4
"78","CHALLENGE","szorongas",2.5,2,1
"79","CHALLENGE","motorozas",1,1,5
"80","CHALLENGE","uj",1.66666666666667,3,4
"81","CHALLENGE","legyozni a szorongasom",1,1,1
"82","CHALLENGE","fight",3.33333333333333,3,2.33333333333333
"83","CHALLENGE","szakdolgozat",1,1,3
"84","CHALLENGE","megfeleles",2,2,3
"85","CHALLENGE","nem unalmas",2,1,5
"86","CHALLENGE","moka",2,1,5
"87","CHALLENGE","faradtsag",3.5,2,2.5
"88","CHALLENGE","penzugy",2,1,1
"89","CHALLENGE","elorelepes",2.5,2,5
"90","CHALLENGE","elegseges",2,1,4
"91","CHALLENGE","energia",2.5,2,5
"92","CHALLENGE","ijeszto",3.5,2,2
"93","CHALLENGE","vagyakozas",2,1,4
"94","CHALLENGE","munka ",2.5,4,3.75
"95","CHALLENGE","tehetseg",3,2,5
"96","CHALLENGE","kockaztatas",2,1,2
"97","CHALLENGE","onbizalom",3.5,4,5
"98","CHALLENGE","kitartas ",2,1,5
"99","CHALLENGE","gondolkodas",3.25,4,3.83333333333333
"100","CHALLENGE","elmeny",2.75,4,3.5
"101","CHALLENGE","kreativitas",3,3,5
"102","CHALLENGE","eroproba",2,1,5
"103","CHALLENGE","kollegium",2,1,3
"104","CHALLENGE","kepesseg",2,1,5
"105","CHALLENGE","failure",3.5,14,1.28125
"106","CHALLENGE","versenyzes",2,1,2
"107","CHALLENGE","uj lehetoseg",2,2,4.5
"108","CHALLENGE","time",3.66666666666667,6,2.41666666666667
"109","CHALLENGE","videojatek",2,1,4
"110","CHALLENGE","szenvedes",2,1,1
"111","CHALLENGE","rewarding",2,1,5
"112","CHALLENGE","vizsga",2,3,2
"113","CHALLENGE","torekves",2,1,4
"114","CHALLENGE","megmaradni",2,1,2
"115","CHALLENGE","labor",2,1,4
"116","CHALLENGE","egyetem ",2,1,3
"117","CHALLENGE","megeri",2.5,2,4.5
"118","CHALLENGE","eredmeny ",2,1,4
"119","CHALLENGE","uj feladat",2,1,5
"120","CHALLENGE","erofeszites ",3.66666666666667,3,4
"121","CHALLENGE","edzes",2,1,5
"122","CHALLENGE","gyerunk",2,1,5
"123","CHALLENGE","victory",3,4,4.5
"124","CHALLENGE","osztonzes",3.5,2,4.5
"125","CHALLENGE","tettvagy",2,1,4
"126","CHALLENGE","uj ",2.5,2,4.5
"127","CHALLENGE","vetelkedo",2,1,3
"128","CHALLENGE","nyereseg",3,2,5
"129","CHALLENGE","harmonikus parkapcsolat fenntartasa",2,1,5
"130","CHALLENGE","csiko",2,1,5
"131","CHALLENGE","ellenfel",3.33333333333333,3,2.33333333333333
