"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","failure_1","failure_2","failure_3","failure_4","failure_5","att_failure_1","att_failure_2","att_failure_3","att_failure_4","att_failure_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5"
"3","R_3qL5xKhrsFmgrv0","Erö","Megfelelés","Önismeret","Kényszer","Gyözelem","pozitív","inkább negatív","pozitív","semleges","inkább pozitív","Ujrakezdés","Akarat","Felépités","Nehéz helyzet","Összeomlás","pozitív","pozitív","inkább pozitív","semleges","inkább negatív","Rosszindulat","Átgondolás","Önismeret","Elöadásforma","Tapintat","negatív","pozitív","pozitív","semleges","pozitív"
"4","R_23NCLpvx4SB9Dgt","Érdekes","Nem unalmas","Változatosság","Nehézségek","Siker","pozitív","pozitív","pozitív","inkább negatív","pozitív","Csalódás","Sikertelenség","Új lehetőségek","Valami vége","Rossz","negatív","negatív","inkább pozitív","semleges","negatív","Visszajelzés","Ötletek ","Félelem","Értékelés","Más szemlélet","pozitív","pozitív","negatív","semleges","inkább pozitív"
"5","R_20TEX6WniVnD9zC","Kaland","Móka","Energia","Fárasztó","Ismeret","pozitív","pozitív","pozitív","inkább negatív","inkább pozitív","Veszteség","Sikertelenség","Esélytelenség","Próba","Szomorú","negatív","negatív","negatív","inkább pozitív","negatív","Előbbrevitel","Támogató","Őszinte","Gonosz","Lehúzó","pozitív","pozitív","pozitív","negatív","negatív"
"6","R_2cAxNYVxc1ZwA8I","Munka","Fáradság","Fejlődés","Nehézség","Kitartás","inkább negatív","inkább negatív","inkább pozitív","inkább negatív","inkább pozitív","Szégyen","Önbizalomvesztés","Bánat","Harag","Motiváltság","negatív","negatív","negatív","negatív","inkább pozitív","Építő","Romboló","Visszatartó","Mindenki","Viszolygás","inkább pozitív","negatív","inkább negatív","inkább negatív","negatív"
"7","R_1pXOz1BGjvPxY7x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","R_2ExVEZr8qlu55Rw","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","R_1CDyTH4jP9xVUEK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","R_25ZLqt1cvLTwQGJ","adrenalin","stressz","fejlodes","presztizs","jutalom","inkább pozitív","inkább negatív","inkább pozitív","pozitív","pozitív","fajdalom","szegyen","tanulas","fejlodes","lehetoseg","negatív","negatív","inkább pozitív","pozitív","inkább pozitív","fejlodes","epules","tamadas","javulas","folyamat","pozitív","pozitív","negatív","inkább pozitív","semleges"
"11","R_OlD88K73xJCL6lH","feladat","fejlődés","lehetőség","mérce","idegesség","semleges","pozitív","pozitív","inkább negatív","negatív","csalódás","önértékelés","depresszió","lehetőség","továbblépés","negatív","semleges","negatív","inkább pozitív","pozitív","ijedtség","fejlődés","düh","megfontolás","javítás","inkább negatív","inkább pozitív","negatív","pozitív","pozitív"
"12","R_3R95hvf7ojPATLI","fejlődés","akadály","ugrás","feladat","growth mindset","pozitív","semleges","inkább pozitív","semleges","pozitív","szomorú","kevés","béna","rossz","bukás","negatív","negatív","negatív","negatív","negatív","építő","feedback","rosszindulatú","tanulás","fejlődés","pozitív","pozitív","negatív","pozitív","pozitív"
"13","R_1DnwJWSGjGoSFTH","Verseny","Cél","Előrelépés","Gondolkozni","Csinálni","pozitív","pozitív","pozitív","inkább pozitív","pozitív","Veszteség","Bukás","Felállás","Előrekezdés","Győzni","inkább negatív","negatív","pozitív","pozitív","pozitív","Rossz","Jó ","Fejlődési lehetőség ","Javítás","Összeomlás","negatív","pozitív","pozitív","inkább pozitív","negatív"
"14","R_216QsdURosDKjUW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","R_AgvnfPmOwfwtdkt","Időbeosztás","Pénzügy","Öröm","Határidő","Akadály","inkább negatív","negatív","pozitív","inkább negatív","inkább pozitív","Káröröm","Bukás","Pénzügy","Feladás","Továbbhaladás","negatív","negatív","inkább negatív","semleges","pozitív","Lelkiismeret","Teljesítmény","Munka","Tanulság","Mentor","inkább negatív","inkább pozitív","semleges","pozitív","pozitív"
"16","R_1f3lpuCAAhMh10S","Lehetőseg","Előrelépés","Önállóság","Izgalom","Segítség","pozitív","pozitív","pozitív","inkább pozitív","inkább pozitív","Lehetőség","Gyakorlás","Támasz","Újra","Váltás","pozitív","pozitív","pozitív","pozitív","inkább pozitív","Család","Társadalom","Változás","Kitartás","Erő","pozitív","semleges","inkább pozitív","pozitív","pozitív"
