"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5","failure_sc_1","failure_sc_2","criticism_sc_1","criticism_sc_2","challenge_sc","iq_ms_1","iq_ms_2","failure_ms_1","failure_ms_2","failure_ms_3","failure_ms_4","criticism_ms_1","criticism_ms_2","criticism_ms_3","criticism_ms_4","challenge_ms_1","challenge_ms_2","challenge_ms_3","challenge_ms_4","ego_res_1","ego_res_2","ego_res_3","ego_res_4","ego_res_5","ego_res_6","ego_res_7","ego_res_8","ego_res_9","ego_res_10","ego_res_11","iqms_avg","crms_avg","chms_avg","fms_avg","fsc_avg","crsc_avg","chall_attitude","crit_attitude","iq_mindset","criticism_mindset","challenge_mindset","failure_mindset","failure_scenario","criticism_scenario","challenge_attitude","criticism_attitude","challenge_scenario"
"1","r_szfrxon0rgrffoj","development","difficulty","bonyolult","komplikalt","edzes",5,2,3,4,4,"development","tamogatas","positive","feedback","eloremutato",5,4,5,4,5,4,2,3,4,1,3,1,6,4,2,3,1,2,2,1,6,4,4,6,6,6,4,5,6,1,3,5,4,4,5,2,1.5,5,3.75,3,3.5,3.6,4.6,-1.97595949962539,-2.54356843574203,0.725547748585778,0.322779158477485,-0.702554652836315,-0.513619024801024,-0.0592296404700251,2.29713143452895,1
"2","r_xomcmrxnjp7rorr","difficulty","task","goal","competition","magabiztossag",2,3,4,3,4,"evaluation","improvement","komment","tanacs","hozzaertes",3,4,3,4,4,5,4,5,4,0,5,5,1,1,2,2,4,4,4,3,2,3,3,3,3,6,4,5,4,3,2,4,5,5,5,5,3.75,2.75,1.5,4.5,4.5,3.2,3.6,0.380464251480665,-0.234149427249897,-2.2341937753902,-2.09806453010365,1.16057370827657,1.03203822740393,-0.604142332794237,0.737948631159805,0
"3","r_2ujt5ayeq2zdhuw","effort","aggodalom","excitement","izgatottsag","jutalom",2,1,4,4,5,"elfogadas","learning","szomorusag","megfeleles","improvement",3,4,1,2,4,4,3,4,3,0,4,3,3,3,4,4,4,3,4,3,3,4,5,4,4,5,5,5,4,3,5,4,4,5,3,3.5,3.5,4,3.5,3.5,3.5,3.2,2.8,-0.797747624072362,-0.490751539304579,-0.589892928736879,0.053796526412914,-0.0815118657986883,-0.513619024801024,-0.604142332794237,-0.509397611535511,0
"4","r_3oapbbq35snpuie","success","performance","buszkeseg","failure","szegyen",5,5,4,1,1,"learning","development","joindulat","rossz akaras","szulok",4,5,4,1,4,3,3,3,4,1,6,5,2,4,4,4,4,4,6,3,6,6,6,5,6,4,5,6,5,3,1,5,2,6,4,5.5,4.25,5.75,3.5,3,3.5,3.2,3.6,0.773201543331674,0.279054796859466,1.71212825657777,0.053796526412914,-0.702554652836315,-0.513619024801024,-0.604142332794237,0.737948631159805,1
"5","r_2cqathxpnsphnte","success","struggle","task","time","stress",4,4,3,4,2,"opinion","malice","constructive","movie","zsuri",4,2,4,3,3,3,4,4,5,1,3,5,4,5,5,4,5,4,4,3,5,5,4,5,4,4,5,5,4,3,2,6,5,4,5,4,4,4.75,4.5,3.5,4.5,3.4,3.2,-0.405010332221353,0.0224526848047847,0.396687579255114,1.1297270546712,-0.0815118657986883,1.03203822740393,-0.331685986632131,0.114275509812148,1
"6","r_2dnnciuyxap2riy","struggle","goal","perseverance","task","life",3,5,4,2,4,"opinion","constructive","oszinte","motivacio","komoly",3,5,4,4,3,3,2,5,5,0,5,5,2,3,3,4,6,3,6,5,4,2,5,5,3,4,5,4,4,3,3,5,2,3,3,5,5,4,3,2.5,5,3.6,3.8,0.380464251480665,1.04886113302351,-0.589892928736879,-0.484168737716228,-1.32359743987394,1.8048668535064,-0.0592296404700251,1.04978519183363,0
"7","r_1inte3nzr7uawsk","struggle","work","development","difficulty","perseverance",4,2,5,1,4,"bad","development","mistake","constructive","improvement",1,5,3,4,3,5,5,4,5,0,4,3,4,3,6,4,6,5,6,6,5,4,5,4,4,4,2,3,5,5,2,5,2,6,5,3.5,5.75,4.5,4.25,5,4.5,3.2,3.2,-0.797747624072362,1.81866746918756,0.0678274099244497,0.860744422606627,1.78161649531419,1.03203822740393,-0.604142332794237,0.114275509812148,0
"8","r_1crjc79zgtwuaod","victory","struggle","willpower","novelty","goal",5,5,5,4,5,"constructive","insulting","tamogatas","help","pain",5,2,5,5,2,4,2,3,3,1,4,2,4,4,4,4,5,4,4,4,5,5,4,5,4,5,3,5,5,3,4,5,5,5,6,3,4.25,4.75,4,3,3,4.8,3.8,-1.19048491592337,0.279054796859466,0.396687579255114,0.591761790542056,-0.702554652836315,-1.2864476509035,1.57550843650261,1.04978519183363,1
"9","r_2awuqdfrqhwcoc9","motivation","performance","osszpontositas","goal","erobefektetes",5,4,4,5,4,"constructive","opinion","korrigalas","tanacs","insulting",5,4,2,4,1,4,5,5,4,1,5,5,1,2,6,6,5,4,6,6,5,5,6,5,5,4,3,5,6,6,5,6,6,6,5,5,5.25,5.25,3.75,4.5,4.5,4.4,3.2,0.380464251480665,1.30546324507819,1.05440791791644,0.322779158477485,1.16057370827657,1.03203822740393,1.0305957441784,0.114275509812148,1
"10","r_e9fz1wfmquawnkx","development","en","szakma","egyediseg","competition",5,5,5,5,5,"development","szkepticizmus","negativitas","ellenfel","jovo",5,2,1,5,5,4,4,5,3,0,5,6,2,2,5,6,3,3,5,5,3,4,6,6,4,2,5,4,4,5,6,4,4,4,4,5.5,4,4.75,3.75,4,4,5,3.6,0.773201543331674,0.0224526848047847,0.396687579255114,0.322779158477485,0.539530921238938,0.259209601301451,1.84796478266472,0.737948631159805,0
"11","r_3g2gstpzucvvmq5","excitement","development","struggle","result","success",5,4,2,4,5,"constructive","negative","opinion","mu","szakember",5,2,3,4,3,5,4,5,5,0,3,3,3,4,6,5,5,3,4,4,5,6,6,6,6,5,6,6,6,3,5,5,4,6,6,3,4,5.75,4.5,4.5,5,4,3.4,-1.19048491592337,0.0224526848047847,1.71212825657777,1.1297270546712,1.16057370827657,1.8048668535064,0.485683051854187,0.426112070485976,0
"12","r_3es3mjwpt15ukoy","difficulty","work","success","megprobaltatas","trying",2,4,5,3,3,"opinion","help","elemzes","evaluation","ismeret",4,5,4,4,3,4,3,3,4,0,5,4,2,1,3,4,4,3,3,4,2,3,5,4,3,2,4,4,4,4,5,5,4,4,3,4.5,3.5,3.5,2.5,3.5,3.5,3.4,4,-0.012273040370344,-0.490751539304579,-1.24761326739821,-1.02213400184537,-0.0815118657986883,-0.513619024801024,-0.331685986632131,1.36162175250746,0
