"","id","challenge_1","challenge_2","challenge_3","challenge_4","challenge_5","att_challenge_1","att_challenge_2","att_challenge_3","att_challenge_4","att_challenge_5","criticism_1","criticism_2","criticism_3","criticism_4","criticism_5","att_criticism_1","att_criticism_2","att_criticism_3","att_criticism_4","att_criticism_5","failure_sc_1","failure_sc_2","criticism_sc_1","criticism_sc_2","challenge_sc","iq_ms_1","iq_ms_2","failure_ms_1","failure_ms_2","failure_ms_3","failure_ms_4","criticism_ms_1","criticism_ms_2","criticism_ms_3","criticism_ms_4","challenge_ms_1","challenge_ms_2","challenge_ms_3","challenge_ms_4","ego_res_1","ego_res_2","ego_res_3","ego_res_4","ego_res_5","ego_res_6","ego_res_7","ego_res_8","ego_res_9","ego_res_10","ego_res_11"
"3","R_szFRxOn0rgrFfoJ","Fejlődés","Nehéz","Bonyolult","Komplikált","Edzés","pozitív","inkább negatív","semleges","inkább pozitív","inkább pozitív","Fejlődés","Támogatás","Pozitiv","Visszajelzés","Előremutató","pozitív","inkább pozitív","pozitív","inkább pozitív","pozitív","Nagyon valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Inkább egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek"
"4","R_XomCMrxNjP7RORr","nehézség","feladat","célok","verseny","magabiztosság","inkább negatív","semleges","inkább pozitív","semleges","inkább pozitív","értékelés","javaslat","komment","tanács","hozzáértés","semleges","inkább pozitív","semleges","inkább pozitív","inkább pozitív","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Teljes mértékben egyetértek","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Egyetértek"
"5","R_2uJt5ayeq2ZDHuw","Erőfeszítés","Aggodalom","Izgalom","Izgatottság","Jutalom","inkább negatív","negatív","inkább pozitív","inkább pozitív","pozitív","Elfogadás","Tanulás","Szomorúság","Megfelelés","Javulni akarás","semleges","inkább pozitív","negatív","inkább negatív","inkább pozitív","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Inkább nem értek egyet"
"6","R_3oAPBBq35sNpuIE","Siker","Teljesítmény","Büszkeség","Kudarc","Szégyen","pozitív","pozitív","inkább pozitív","negatív","negatív","Tanulság","Fejlődés","Jóindulat","Rossz akarás","Szülők","inkább pozitív","pozitív","inkább pozitív","negatív","inkább pozitív","Talán így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Egyáltalán nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Inkább egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Nem értek egyet","Teljes mértékben egyetértek","Inkább egyetértek"
"7","R_2CQATHXpnSPHNTE","Siker","Küzdés","Feladat","Idő","Stressz","inkább pozitív","inkább pozitív","semleges","inkább pozitív","inkább negatív","Vélemény","Rosszindulat","Építő jellegű","Film","Zsűri","inkább pozitív","inkább negatív","inkább pozitív","semleges","semleges","Talán így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Inkább egyetértek","Nem értek egyet","Inkább egyetértek","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Inkább egyetértek","Egyetértek","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Inkább egyetértek","Egyetértek"
"8","R_2dnnCiuyxAp2riy","Küzdelem","Cél","Kitartás","Feladat","Élet","semleges","pozitív","inkább pozitív","inkább negatív","inkább pozitív","Vélemény","Építő","Őszinte","Motiváció","Komoly","semleges","pozitív","inkább pozitív","inkább pozitív","semleges","Talán így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább nem értek egyet","Teljes mértékben egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Inkább egyetértek","Nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet"
"9","R_1inte3NzR7UAwSk","Küzdelem","Munka","Fejlődés","Nehéz","Kitartás","inkább pozitív","inkább negatív","pozitív","negatív","inkább pozitív","Rossz","Fejlődés","Hiba","Építő jellegű","Javítás","negatív","pozitív","semleges","inkább pozitív","semleges","Egyáltalán nem valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Teljes mértékben egyetértek","Egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Inkább egyetértek","Nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Nem értek egyet","Egyetértek","Nem értek egyet","Teljes mértékben egyetértek","Egyetértek"
"10","R_1CrJC79zGtwUaoD","Győzelem","Küzdelem","Akarat","Újdonság","Cél","pozitív","pozitív","pozitív","inkább pozitív","pozitív","Építő","Bántó","Támogatás","Segítség","Fájdalom","pozitív","inkább negatív","pozitív","pozitív","inkább negatív","Kevésbé valószínű, hogy így gondolnám.","Kevésbé valószínű, hogy így gondolnám.","Talán így gondolnám.","Talán így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Nem értek egyet","Inkább egyetértek","Egyetértek","Inkább nem értek egyet","Egyetértek","Egyetértek","Inkább nem értek egyet","Inkább egyetértek","Egyetértek","Egyetértek","Egyetértek","Teljes mértékben egyetértek"
"11","R_2awuQDfrqhWCOc9","Motiváció","Teljesítés","Összpontosítás","Cél","Erőbefektetés","pozitív","inkább pozitív","inkább pozitív","pozitív","inkább pozitív","Építő","Vélemény","Korrigálás","Tanács","Bántó","pozitív","inkább pozitív","inkább negatív","inkább pozitív","negatív","Kevésbé valószínű, hogy így gondolnám.","Teljes mértékben így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","A nehéz feladatot, ahol valószínűleg tanulok valami újat.","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Egyetértek","Egyetértek","Egyáltalán nem értek egyet","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább nem értek egyet","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Teljes mértékben egyetértek","Egyetértek"
"12","R_e9Fz1WFMqUAwnKx","fejlődés","én","szakma","egyediség","verseny","pozitív","pozitív","pozitív","pozitív","pozitív","fejlődés","szkepticizmus","negativitás","ellenfél","jövő","pozitív","inkább negatív","negatív","pozitív","pozitív","Kevésbé valószínű, hogy így gondolnám.","Nagyon valószínű, hogy így gondolnám.","Egyáltalán nem valószínű, hogy így gondolnám.","Talán így gondolnám.","A könnyű feladatot, ahol a legtöbb problémat meg tudom oldani.","Nem értek egyet","Egyáltalán nem értek egyet","Nem értek egyet","Nem értek egyet","Nem értek egyet","Egyáltalán nem értek egyet","Inkább nem értek egyet","Inkább nem értek egyet","Nem értek egyet","Nem értek egyet","Inkább nem értek egyet","Inkább egyetértek","Egyáltalán nem értek egyet","Egyáltalán nem értek egyet","Inkább egyetértek","Nem értek egyet","Egyetértek","Inkább egyetértek","Inkább egyetértek","Egyetértek","Teljes mértékben egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek","Inkább egyetértek"
